Unnamed: 0.1,Unnamed: 0,id,context,question,answer0,answer1,answer2,answer3,label,split,input,output,answer,task,option1,option2,option3,option4,input_length,output_text,output_label,domain_label,question_type,preds,choice,is_correct
88,90,34HEO7RUG885C1KPP73UJ79LTXBAR3##34PGFRQONRQO8A2989WFOPGA486JWH##A2KYOM2ZGYDJGT##Blog_494172##q1_a1##3RHLQY6EDVIW92L3Y5YJ1F6INZBD45,"I had one thought as I headed to the beach for a 20-minute power stint of sea glass hunting and it was , "" I got to get purple sea glass . "" Well , there were a few thoughts . "" Maybe there will be a big purple , or a dark purple or many small but varied shades . I hope I get some purple . I could really use some purple .",Why could I really use some purple ?,Because I had one thought .,Because I hope I get some purple .,None of the above choices .,Because I need objects of that color to make something colorful .,3,test,"context: i had one thought as i headed to the beach for a 20-minute power stint of sea glass hunting and it was , "" i got to get purple sea glass . "" well , there were a few thoughts . "" maybe there will be a big purple , or a dark purple or many small but varied shades . i hope i get some purple . i could really use some purple . question: why could i really use some purple ? options: a) because i had one thought b) because i hope i get some purple c) none of the above choices d) because i need objects of that color to make something colorful",because i need objects of that color to make something colorful,4,cosmosqa,because i had one thought,because i hope i get some purple,none of the above choices,because i need objects of that color to make something colorful,135,d) because i need objects of that color to make something colorful,d,commonsense,cause prediction,b),b,0
89,91,3B623HUYJ4OO03SGN07LLSKEW2K8SH##3IXEICO793H5X9K19OLF03GX7LGT65##A394JO4NEPCY3M##Blog_1070263##q1_a1##33BFF6QPI3PA0C2QFMYQJY3WFX8W3W,But I was lurking craigslist ( like I always do ) looking for deals and an ampeg 810e in mint condition came up for $ 600 . I can pay for that with cash now and have it . See how it works for me .,What might be different if the narrator was n't lurking on craigslist ?,They would have bought an ampeg 810,They would not have bought an ampeg 810,None of the above choices .,They would have spent 600 dollars,1,test,context: but i was lurking craigslist ( like i always do ) looking for deals and an ampeg 810e in mint condition came up for $ 600 . i can pay for that with cash now and have it . see how it works for me . question: what might be different if the narrator was n't lurking on craigslist ? options: a) they would have bought an ampeg 810 b) they would not have bought an ampeg 810 c) none of the above choices d) they would have spent 600 dollars,they would not have bought an ampeg 810,2,cosmosqa,they would have bought an ampeg 810,they would not have bought an ampeg 810,none of the above choices,they would have spent 600 dollars,129,b) they would not have bought an ampeg 810,b,commonsense,effect prediction,b,b,1
90,92,31KPKEKW4AB71S6BHA8B2O4W9GM0BL##3180JW2OT5AF02OISBX66RFODL75JJ##A2KYOM2ZGYDJGT##Blog_1165382##q1_a1##3SR6AEG6W77TJP4P985G8PPM9AQYH4,"Nobody was there and it was kind of late , so I ordered some pizza to share with my third room mate when he got back . I can tell he 's more like me than the other two , and I feel a bit more natural with him . The two other room mates are very much partiers and they 're almost always together .",Why did the writer order some pizza ?,Because it was kind of late .,None of the above choices .,Because they were hungry .,Because the writer feels natural with the roommate .,2,test,"context: nobody was there and it was kind of late , so i ordered some pizza to share with my third room mate when he got back . i can tell he 's more like me than the other two , and i feel a bit more natural with him . the two other room mates are very much partiers and they 're almost always together . question: why did the writer order some pizza ? options: a) because it was kind of late b) none of the above choices c) because they were hungry d) because the writer feels natural with the roommate",because they were hungry,3,cosmosqa,because it was kind of late,none of the above choices,because they were hungry,because the writer feels natural with the roommate,127,c) because they were hungry,c,commonsense,cause prediction,d,d,0
91,93,33NKDW9FFXGY8N4SYMTDMMXP1SQCXM##3XIQGXAUMD6VIQ7QX8R4VK1ZDJN7XG##AXJ1PE87PD0KK##Blog_477351##q1_a1##3KTZHH2ONKT0WXEIN1NZ1H9GX6CM8R,"It 's Sunday . I ' m in no hurry . They can take their merry little time . But then out of nowhere , just as my access to the spot has become available ( mind you , I am sitting there with my blinker on !",What happens after the spot became available to me ?,I was able to get the spot without any problems .,None of the above choices .,The person backing out decided to stay in the spot .,I realized my blinker was n't working correctly .,2,test,"context: it 's sunday . i ' m in no hurry . they can take their merry little time . but then out of nowhere , just as my access to the spot has become available ( mind you , i am sitting there with my blinker on ! question: what happens after the spot became available to me ? options: a) i was able to get the spot without any problems b) none of the above choices c) the person backing out decided to stay in the spot d) i realized my blinker was nt working correctly",the person backing out decided to stay in the spot,3,cosmosqa,i was able to get the spot without any problems,none of the above choices,the person backing out decided to stay in the spot,i realized my blinker was nt working correctly,121,c) the person backing out decided to stay in the spot,c,commonsense,effect prediction,a) i was able to get the spot without any problems,a,0
92,94,351S7I5UGBAVYWV1Q6ZQ3M7UI5VNJN##3E4GGUZ1TB6X7EAKCA7K1X0YDQR2KV##A2KYOM2ZGYDJGT##Blog_1011071##q1_a1##3TFJJUELSJ3C1W02UVKKOUR1H4OC2S,"I moved my stuff into the living room to work on my book and I began noticing you and would write Mat Gleason , "" The guy with the beautiful hair just walked by . "" And the thing is I could care less about hair . I like bald headed men so it s not your hair it s you .",What 's a possible reason the writer likes bald headed men ?,None of the above choices .,Because she happens to find bald headed men attractive .,Because the writer moved their stuff into the living room .,Because the writer worked on their book .,1,test,"context: i moved my stuff into the living room to work on my book and i began noticing you and would write mat gleason , "" the guy with the beautiful hair just walked by . "" and the thing is i could care less about hair . i like bald headed men so it s not your hair it s you . question: what 's a possible reason the writer likes bald headed men ? options: a) none of the above choices b) because she happens to find bald headed men attractive c) because the writer moved their stuff into the living room d) because the writer worked on their book",because she happens to find bald headed men attractive,2,cosmosqa,none of the above choices,because she happens to find bald headed men attractive,because the writer moved their stuff into the living room,because the writer worked on their book,135,b) because she happens to find bald headed men attractive,b,social,cause prediction,b,b,1
93,95,3G57RS03HJJR2BRNFLXCAOLRPFV52Q##38JBBYETQRP4OSXXK2F5WHKREZ8E4L##A2KYOM2ZGYDJGT##Blog_472696##q1_a1##3THR0FZ95R7JB7JDU6BGYQKRCJJOLD,"I am still astonished by the many accents you hear in Singapore . Chinese , Malaysian , Indian , Aussie and New Zealander , Japanese , Filipino . And in other fork - related sightings : At break yesterday , the hotel served finger sandwiches . Yup , you guessed it : everyone used forks to eat them .",Why do you hear many accents in Singapore ?,Because I am astonished .,Because the hotel served finger sandwiches .,Because there were fork - related sightings .,None of the above choices .,3,test,"context: i am still astonished by the many accents you hear in singapore . chinese , malaysian , indian , aussie and new zealander , japanese , filipino . and in other fork - related sightings : at break yesterday , the hotel served finger sandwiches . yup , you guessed it : everyone used forks to eat them . question: why do you hear many accents in singapore ? options: a) because i am astonished b) because the hotel served finger sandwiches c) because there were fork related sightings d) none of the above choices",none of the above choices,4,cosmosqa,because i am astonished,because the hotel served finger sandwiches,because there were fork related sightings,none of the above choices,133,d) none of the above choices,d,social,cause prediction,c),c,0
94,96,3M4KL7H8KX1GWU951073XBPMT2E163##3A9AA95ATZ1QH2QN7LEQVLP9RKQP56##A2MHM7JK1T9XHR##Blog_764021##q2_a1##3QO7EE372Q1AJAAHI6EQ9SJMFPBQBM,"In the end my business did not suffer because I refused to let them get the best of me . I refused to stoop to their level . In the end , it was those girls who lost business .",What may happen before I refuse to let them get the best of me ?,None of the above choices .,Those girls tried to sabotage my business,Those girls lost business,I gave those girls my business,1,test,"context: in the end my business did not suffer because i refused to let them get the best of me . i refused to stoop to their level . in the end , it was those girls who lost business . question: what may happen before i refuse to let them get the best of me ? options: a) none of the above choices b) those girls tried to sabotage my business c) those girls lost business d) i gave those girls my business",those girls tried to sabotage my business,2,cosmosqa,none of the above choices,those girls tried to sabotage my business,those girls lost business,i gave those girls my business,103,b) those girls tried to sabotage my business,b,social,cause prediction,b) b) b) b) b) c) ,b,1
95,97,351S7I5UG9UG47WU68NQBOJMPC5NJZ##3HHRAGRYX93C20HRBE2SQ31CY2MO9G##A2KYOM2ZGYDJGT##Blog_670751##q1_a1##3VQTAXTYN5Z2B3HYZFYVJTGBI75UBD,I was really happy with the race considering how tired I was going in . It was also fun trying to track Conrad down . I knew there was n't really any chance of that but it was cool knowing he was the only one ahead me and I was actually racing against him .,Why was the writer really happy with the race ?,Because the writer was racing against Conrad .,Because they had to track Conrad down .,Because they did better than they expected to .,Because the writer was tired .,2,test,context: i was really happy with the race considering how tired i was going in . it was also fun trying to track conrad down . i knew there was n't really any chance of that but it was cool knowing he was the only one ahead me and i was actually racing against him . question: why was the writer really happy with the race ? options: a) because the writer was racing against conrad b) because they had to track conrad down c) because they did better than they expected to d) because the writer was tired,because they did better than they expected to,3,cosmosqa,because the writer was racing against conrad,because they had to track conrad down,because they did better than they expected to,because the writer was tired,116,c) because they did better than they expected to,c,commonsense,cause prediction,c),c,1
96,98,3ZXNP4Z39TZCQ1REDKUEN4YWMLGL79##3IUZPWIU1RMJJU8RQUWRP4GNHEOWK7##A2KYOM2ZGYDJGT##Blog_252329##q1_a1##35ZRNT9RUKC2V3TOO07G24QACXS3OE,"The next page told almost exclusively about Lestat . The things he bought him , the places and restaurants he took him , their talks . "" Lestat filled my room with fancy furniture , and keeps bringing me new clothes all the time .",Why did Lestat buy things for someone ?,Because he took him to restaurants .,None of the above choices .,Because he took him to places .,Because Lestat is generous .,3,test,"context: the next page told almost exclusively about lestat . the things he bought him , the places and restaurants he took him , their talks . "" lestat filled my room with fancy furniture , and keeps bringing me new clothes all the time . question: why did lestat buy things for someone ? options: a) because he took him to restaurants b) none of the above choices c) because he took him to places d) because lestat is generous",because lestat is generous,4,cosmosqa,because he took him to restaurants,none of the above choices,because he took him to places,because lestat is generous,102,d) because lestat is generous,d,social,cause prediction,d),d,1
97,99,3511RHPADXSM8KBTMYSKSLPWNXALR8##3GFK2QRXXCWG1BNOJ7SLNFX5KRJW5I##A2KYOM2ZGYDJGT##Blog_1158526##q1_a1##3PEG1BH7AG5O87CM51UTD67DGKVBKT,"I still feel like I ' m 20 and are still stuck with the same job , with the same clothes with the same habits and look at you , Married and living in a flat in Paris and having a great job . She looks at him with an expression almost saying "" you made that sound much better than it really is "" And then she starts talking about her love life . How good It might sound with kids and marriage .",Why are you married and living in a flat in Paris ?,Because I 'm 20 .,None of the above choices .,Because I have the same clothes .,Because you 've worked hard to build a life you want .,3,test,"context: i still feel like i ' m 20 and are still stuck with the same job , with the same clothes with the same habits and look at you , married and living in a flat in paris and having a great job . she looks at him with an expression almost saying "" you made that sound much better than it really is "" and then she starts talking about her love life . how good it might sound with kids and marriage . question: why are you married and living in a flat in paris ? options: a) because i m 20 b) none of the above choices c) because i have the same clothes d) because you ve worked hard to build a life you want",because you ve worked hard to build a life you want,4,cosmosqa,because i m 20,none of the above choices,because i have the same clothes,because you ve worked hard to build a life you want,149,d) because you ve worked hard to build a life you want,d,social,cause prediction,d),d,1
98,100,3R6RZGK0XHQY1QZ9EXMKNQGVHNMVY8##3I0BTBYZA00LV9WN124XRHMUFCP0YO##A2KYOM2ZGYDJGT##Blog_82927##q1_a1##3R16PJFTS554N8RDQMK65S176TK4KO,"And bought a road bike . Bicycle , not motorcycle ! ! A couple months ago , I went out with a really nice guy who 's really into triathlons and cycling . I ' ve always really enjoyed recreational cycling , but he peaked my interest in road cycling .",Why is the guy really into triathlons ?,Because he 's really into cycling .,Because I met him .,None of the above choices .,Because he 's sporty .,3,test,"context: and bought a road bike . bicycle , not motorcycle ! ! a couple months ago , i went out with a really nice guy who 's really into triathlons and cycling . i ' ve always really enjoyed recreational cycling , but he peaked my interest in road cycling . question: why is the guy really into triathlons ? options: a) because he s really into cycling b) because i met him c) none of the above choices d) because he s sporty",because he s sporty,4,cosmosqa,because he s really into cycling,because i met him,none of the above choices,because he s sporty,118,d) because he s sporty,d,social,cause prediction,d,d,1
99,101,3NZ1E5QA6ZZ6WZSCEGENJJ0NQMXB5D##35LDD5557B28JTF62VE4O8QNEW1MKB##A2KYOM2ZGYDJGT##Blog_1065798##q1_a1##3JTPR5MTZUQMJRVD4R3GAK7L6KM5KR,"We sang two lines each and sang the chorus together . Q. You ' ve performed in numerous large - scale concerts throughout your career , but is n't this your first time performing in front of 90,000 audience members and billions of TV viewers ? A. I performed in front of 40,000 audience members during my Beijing concert .","Why did the singer perform in front of 40,000 audience members ?",Because they sang the chorus together .,None of the above choices .,Because they performed in front of billions of TV viewers .,Because they are a popular and talented singer .,3,test,"context: we sang two lines each and sang the chorus together . q. you ' ve performed in numerous large - scale concerts throughout your career , but is n't this your first time performing in front of 90,000 audience members and billions of tv viewers ? a. i performed in front of 40,000 audience members during my beijing concert . question: why did the singer perform in front of 40,000 audience members ? options: a) because they sang the chorus together b) none of the above choices c) because they performed in front of billions of tv viewers d) because they are a popular and talented singer",because they are a popular and talented singer,4,cosmosqa,because they sang the chorus together,none of the above choices,because they performed in front of billions of tv viewers,because they are a popular and talented singer,132,d) because they are a popular and talented singer,d,social,cause prediction,d),d,1
100,102,3DWNFENNE3TUIZMOO38UCFDMYFW4JB##3GD6L00D3TV6DSTKUL8MJTUO3P5M18##AO33H4GL9KZX9##Blog_476065##q1_a1##39HYCOOPKQZCDSA949YFN9NH8YRDM8,"I wanted to say something , but what do you say at a time like this ? And I thought , what did I say to my friends in New York on 9 - 11 ? I rose from my chair , walked over , and asked if they had spoken with their families . They had .",What might have happened prior to this that I 'm remembering the 9/11 attacks ?,None of the above choices .,Some kind of disaster must have happened in the area .,Some kind of disaster must have skipped in the area .,Some kind of disaster must have happened far away ..,1,test,"context: i wanted to say something , but what do you say at a time like this ? and i thought , what did i say to my friends in new york on 9 - 11 ? i rose from my chair , walked over , and asked if they had spoken with their families . they had . question: what might have happened prior to this that i 'm remembering the 9/11 attacks ? options: a) none of the above choices b) some kind of disaster must have happened in the area c) some kind of disaster must have skipped in the area d) some kind of disaster must have happened far away",some kind of disaster must have happened in the area,2,cosmosqa,none of the above choices,some kind of disaster must have happened in the area,some kind of disaster must have skipped in the area,some kind of disaster must have happened far away,135,b) some kind of disaster must have happened in the area,b,commonsense,cause prediction,b),b,1
101,103,3D1TUISJWKECYBV45PQC5GKODMZIUY##3N2BF7Y2VT9WCSD5G7N73EY4REQMHO##A2KYOM2ZGYDJGT##Blog_170644##q1_a1##3NCN4N1H1IVPGDXP2EM95YOHAEFBNB,"Today I turned in my application for an international student ID , filed all my paperwork for the trip to Japan , and talked to various people in various offices about financial aid , which ... well , the less said the better . I knew these things would take all morning , but I did n't expect them to take all day . I got back barely in time to clean the house before my mom got home .",What 's a possible reason the writer is going to Japan ?,They turned in an application .,They are getting an international student ID .,None of the above choices .,They are going to study there .,3,test,"context: today i turned in my application for an international student id , filed all my paperwork for the trip to japan , and talked to various people in various offices about financial aid , which ... well , the less said the better . i knew these things would take all morning , but i did n't expect them to take all day . i got back barely in time to clean the house before my mom got home . question: what 's a possible reason the writer is going to japan ? options: a) they turned in an application b) they are getting an international student id c) none of the above choices d) they are going to study there",they are going to study there,4,cosmosqa,they turned in an application,they are getting an international student id,none of the above choices,they are going to study there,144,d) they are going to study there,d,commonsense,cause prediction,d),d,1
102,104,344M16OZKID8TRA2S7CZE86UK6AENA##3DZQRBDBSMD5LQK41MIRJV8RVGPS38##A2KYOM2ZGYDJGT##Blog_331862##q1_a1##3LXX8KJXPYNOA5I4598QTHTWCNK9OF,"I started to laugh , but then I remembered that teenage boys are in my future as well . How would I react to a shaman son ? Would I too cry about it at the corner coffee shop ? Hard to say at this point . The boys are both feeling better , so tomorrow it 's back to day care .",What 's a possible reason teenage boys are in the writer 's future ?,Because they have some boys that are below the teenage years .,Because the boys are both feeling better .,None of the above choices .,Because the writer wondered how they would react to a Shaman son .,0,test,"context: i started to laugh , but then i remembered that teenage boys are in my future as well . how would i react to a shaman son ? would i too cry about it at the corner coffee shop ? hard to say at this point . the boys are both feeling better , so tomorrow it 's back to day care . question: what 's a possible reason teenage boys are in the writer 's future ? options: a) because they have some boys that are below the teenage years b) because the boys are both feeling better c) none of the above choices d) because the writer wondered how they would react to a shaman son",because they have some boys that are below the teenage years,1,cosmosqa,because they have some boys that are below the teenage years,because the boys are both feeling better,none of the above choices,because the writer wondered how they would react to a shaman son,146,a) because they have some boys that are below the teenage years,a,commonsense,cause prediction,d),d,0
103,105,3MNJFORX8DIB353Z3GCJU7FGYTWF50##3K3R2QNK8EIMAU0VRXQ1H7HANI59UP##AO33H4GL9KZX9##Blog_789396##q1_a1##31GN6YMHLR6EKTN551ZRR6B98V7WSR,So I sent my greetings and salutations via Ron to Tommyboy . We arrive at the parking lot and Park Blvd was lively with club goers and happy drunk people . It was a festive night between the Flame and Numbers .,What might have we done   once we 're out of the parking lot ?,We might have gone into the Park blvd and picked a club to dance and drink in .,We might have gone into the Park blvd and picked a lot to dance and drink in .,We might have stayed in the parking lot and picked a club to dance and drink in .,None of the above choices .,0,test,context: so i sent my greetings and salutations via ron to tommyboy . we arrive at the parking lot and park blvd was lively with club goers and happy drunk people . it was a festive night between the flame and numbers . question: what might have we done   once we 're out of the parking lot ? options: a) we might have gone into the park blvd and picked a club to dance and drink in b) we might have gone into the park blvd and picked a lot to dance and drink in c) we might have stayed in the parking lot and picked a club to dance and drink in d) none of the above choices,we might have gone into the park blvd and picked a club to dance and drink in,1,cosmosqa,we might have gone into the park blvd and picked a club to dance and drink in,we might have gone into the park blvd and picked a lot to dance and drink in,we might have stayed in the parking lot and picked a club to dance and drink in,none of the above choices,149,a) we might have gone into the park blvd and picked a club to dance and drink in,a,commonsense,effect prediction,c),c,0
104,106,3TUOHPJXYHV7MLAXFDTEYG4STGUXWI##3Y5140Z9DYENY1MVU8LKSW55Q4HPI6##AJ7NSZOAFP05U##Blog_1488660##q1_a1##3RDTX9JRT0FHPZQ5ONROIV71MVU791,"One was me sitting on Mall Santa 's lap ( when I was 16 - Sarah dared me to do it ) , and the other was a framed shot of Laura , Sam , and me , from my first ren fest ... 8 years ago . I put it up on the mantle . But man ... that was 8 years ago ?",What may be shown in the photos you were looking at ?,There would be photos from the holdays .,None of the above choices .,A friend would be covering me in the pictures .,There would be a photo of me sitting on Santa 's lap at ren fest .,0,test,"context: one was me sitting on mall santa 's lap ( when i was 16 - sarah dared me to do it ) , and the other was a framed shot of laura , sam , and me , from my first ren fest ... 8 years ago . i put it up on the mantle . but man ... that was 8 years ago ? question: what may be shown in the photos you were looking at ? options: a) there would be photos from the holdays b) none of the above choices c) a friend would be covering me in the pictures d) there would be a photo of me sitting on santa s lap at ren fest",there would be photos from the holdays,1,cosmosqa,there would be photos from the holdays,none of the above choices,a friend would be covering me in the pictures,there would be a photo of me sitting on santa s lap at ren fest,147,a) there would be photos from the holdays,a,commonsense,effect prediction,d),d,0
105,107,366FYU4PTGN7LLPZVUKJMGPQQ7HKEF##378XPAWRUDBGBXGT5P3N21GAS9MAIZ##A33PQXKQHFVF3V##Blog_1089092##q1_a1##3XDSWAMB246TTF2NW6ALKCP4X7WCQU,"Except I was in my air conditioned house . And I was humming along to the radio . And I was using pretty colored plastic hangers , pretty sure they did n't have those . Be grateful for your working dryers today .",Why would I have said to be grateful for the dryer ?,Because dryers are the best invention ever .,Because it was so hot outside so it was a miracle they were working at all .,Because some people in other countries do n't have luxuries like that .,I was saying be grateful for everything ... including dryers .,2,test,"context: except i was in my air conditioned house . and i was humming along to the radio . and i was using pretty colored plastic hangers , pretty sure they did n't have those . be grateful for your working dryers today . question: why would i have said to be grateful for the dryer ? options: a) because dryers are the best invention ever b) because it was so hot outside so it was a miracle they were working at all c) because some people in other countries do nt have luxuries like that d) i was saying be grateful for everything including dryers",because some people in other countries do nt have luxuries like that,3,cosmosqa,because dryers are the best invention ever,because it was so hot outside so it was a miracle they were working at all,because some people in other countries do nt have luxuries like that,i was saying be grateful for everything including dryers,134,c) because some people in other countries do nt have luxuries like that,c,commonsense,cause prediction,d),d,0
106,108,3ODOP6T3ASIUC3OGHI22DYR5WDF42B##3NXNZ5RS1BV5HUPSUSLQFHFH7GH79J##A2LTOS0AZ3B28A##Blog_19851##q2_a1##3XDSWAMB246TTF2NW6ALKCP4X5AQCI,But i made it out safely . I am so happy that i paid attention to all my driving lessons over the last 2 years . After everyone got controll i was just shaking . it was so scary .,Why had they been taking driving lessons ?,None of the above choices .,They loved when their car was out of control .,They wanted to drive and not pay attention at the same time .,They wanted to be able to handle anything scary .,3,test,context: but i made it out safely . i am so happy that i paid attention to all my driving lessons over the last 2 years . after everyone got controll i was just shaking . it was so scary . question: why had they been taking driving lessons ? options: a) none of the above choices b) they loved when their car was out of control c) they wanted to drive and not pay attention at the same time d) they wanted to be able to handle anything scary,they wanted to be able to handle anything scary,4,cosmosqa,none of the above choices,they loved when their car was out of control,they wanted to drive and not pay attention at the same time,they wanted to be able to handle anything scary,106,d) they wanted to be able to handle anything scary,d,commonsense,cause prediction,d),d,1
107,109,3EKZL9T8YA0GGM3KDGNRBYX369DCHP##3YWRV122CVEMWPHLM5KNHBMZ1GG8UY##A2KYOM2ZGYDJGT##Blog_669549##q1_a1##3YLTXLH3DHKZABCOIL9XVYWA56LHPT,"We are visiting with my in - laws now ( a propos nothing ) and we went out for lunch today . I took Akiva down to use the bathroom , and we discovered a mural on the wall ( where else ? ! ) consisting of a mermaid and other assorted nautical items .",Why did they go out for lunch ?,Because the writer discovered a mural on the wall .,Because the mural consisted of a mermaid and other nautical items .,None of the above choices .,Because they enjoy each other 's company .,3,test,"context: we are visiting with my in - laws now ( a propos nothing ) and we went out for lunch today . i took akiva down to use the bathroom , and we discovered a mural on the wall ( where else ? ! ) consisting of a mermaid and other assorted nautical items . question: why did they go out for lunch ? options: a) because the writer discovered a mural on the wall b) because the mural consisted of a mermaid and other nautical items c) none of the above choices d) because they enjoy each other s company",because they enjoy each other s company,4,cosmosqa,because the writer discovered a mural on the wall,because the mural consisted of a mermaid and other nautical items,none of the above choices,because they enjoy each other s company,125,d) because they enjoy each other s company,d,commonsense,cause prediction,d),d,1
108,110,35U0MRQMULLM7CV78ADMLZIT36EVOA##36TFCYNS47P764C9UEPGEVE2YVEXHD##A394JO4NEPCY3M##Blog_1564154##q1_a1##3QMELQS6Y7P4PZ8MZUMI327ZXA26RI,"The last hour it was snowing , which really did n't bode that well . By the time we arrived at our start point it was only raining , so that was something . Unloaded in the rain and posed by the sign . Here we are in all our misery ( gender segregation voluntary ) .",What might be different if it was not raining ?,The narrator would have posed by the sign,None of the above choices .,Gender segregation would be voluntary,The narrator would n't be miserable,3,test,"context: the last hour it was snowing , which really did n't bode that well . by the time we arrived at our start point it was only raining , so that was something . unloaded in the rain and posed by the sign . here we are in all our misery ( gender segregation voluntary ) . question: what might be different if it was not raining ? options: a) the narrator would have posed by the sign b) none of the above choices c) gender segregation would be voluntary d) the narrator would nt be miserable",the narrator would nt be miserable,4,cosmosqa,the narrator would have posed by the sign,none of the above choices,gender segregation would be voluntary,the narrator would nt be miserable,136,d) the narrator would nt be miserable,d,commonsense,effect prediction,d),d,1
109,111,31ANT7FQN80GNCVYE8OJ5U3LLZ25HN##39K0FND3AID27G6KQ41FUUNR9K3MAS##A2KYOM2ZGYDJGT##Blog_656857##q1_a1##3D4BBDG7ZJA1MEWLYVYP74WTNFM3CM,"One event I hate , is high jump . I ' ve had a bad history with high jump * evil stare * . Anyway , yesterday I went to church with my friend . I slept over with my friend so I had to go to church with her .",What 's a possible reason the writer hates high jump ?,None of the above choices .,Because it makes them have an evil stare .,Because they are not good at it .,Because they slept over with their friend .,2,test,"context: one event i hate , is high jump . i ' ve had a bad history with high jump * evil stare * . anyway , yesterday i went to church with my friend . i slept over with my friend so i had to go to church with her . question: what 's a possible reason the writer hates high jump ? options: a) none of the above choices b) because it makes them have an evil stare c) because they are not good at it d) because they slept over with their friend",because they are not good at it,3,cosmosqa,none of the above choices,because it makes them have an evil stare,because they are not good at it,because they slept over with their friend,116,c) because they are not good at it,c,commonsense,cause prediction,b),b,0
110,112,31D0ZWOD0CDHC70QVUKFZB8YKPQA0J##3ZAZR5XV04X5UR1894Z00PXXTRTCZE##A1S1K7134S2VUC##Blog_346772##q1_a2##3E6L1VR4XY07M93D8ZMOMDTGUMIF6N,"It looked nothing like the one in Manhattan . It really felt like I was in Taiwan , Hong Kong or China , not that I ' ve been to those places , but it did n't feel like America . My friend took me to a hot pot place ( also known as steamboat in Singapore ) .",Why did they go to a hot pot place ?,To feel like they were having an American meal in a strange country .,None of the above choices .,The wanted an experience similar to what is found in Manhattan .,They wanted food like you can get in Singapore .,3,test,"context: it looked nothing like the one in manhattan . it really felt like i was in taiwan , hong kong or china , not that i ' ve been to those places , but it did n't feel like america . my friend took me to a hot pot place ( also known as steamboat in singapore ) . question: why did they go to a hot pot place ? options: a) to feel like they were having an american meal in a strange country b) none of the above choices c) the wanted an experience similar to what is found in manhattan d) they wanted food like you can get in singapore",they wanted food like you can get in singapore,4,cosmosqa,to feel like they were having an american meal in a strange country,none of the above choices,the wanted an experience similar to what is found in manhattan,they wanted food like you can get in singapore,134,d) they wanted food like you can get in singapore,d,commonsense,cause prediction,c),c,0
111,113,386659BNTLF6OUOJFDFMWCRNNVL10B##386PBUZZXGVT2RR3KYDDNGBLY8QJLX##A2KYOM2ZGYDJGT##Blog_1375675##q1_a1##3VI0PC2ZA0YEB1028PE49KFEJMGOXA,I am okay with the way things are now and am ready to move on with my life . My vacation was amazing and so much fun . It was great to be with my family and spend all the time with them .,What 's a possible reason the writer is ready to move on with their life ?,Because it was great to be with family .,Because they have accepted some things that happened in the past .,None of the above choices .,Because their vacation was so much fun .,1,test,context: i am okay with the way things are now and am ready to move on with my life . my vacation was amazing and so much fun . it was great to be with my family and spend all the time with them . question: what 's a possible reason the writer is ready to move on with their life ? options: a) because it was great to be with family b) because they have accepted some things that happened in the past c) none of the above choices d) because their vacation was so much fun,because they have accepted some things that happened in the past,2,cosmosqa,because it was great to be with family,because they have accepted some things that happened in the past,none of the above choices,because their vacation was so much fun,111,b) because they have accepted some things that happened in the past,b,social,cause prediction,b),b,1
112,114,3YGYP136417X2VF7EDWZDF5DZYIRNO##3CN4LGXD5YMNZ8FH06FZBMOYQ9TY45##AO33H4GL9KZX9##Blog_363018##q1_a1##3HYV4299H2A2K9M563ZGO947OFJ8E8,They can go pretty fast on a flat road but any kind of hill and they obviously slow down . Ever overtaken one of these things ? Only then would you know how it plays with your nerves to start with !,Why might these slow down on any kind of hills ?,These things might slow down on hills because they 're overpowered .,None of the above choices .,These things might slow down on flat roads because they 're underpowered .,These things might slow down on hills because they 're underpowered .,3,test,context: they can go pretty fast on a flat road but any kind of hill and they obviously slow down . ever overtaken one of these things ? only then would you know how it plays with your nerves to start with ! question: why might these slow down on any kind of hills ? options: a) these things might slow down on hills because they re overpowered b) none of the above choices c) these things might slow down on flat roads because they re underpowered d) these things might slow down on hills because they re underpowered,these things might slow down on hills because they re underpowered,4,cosmosqa,these things might slow down on hills because they re overpowered,none of the above choices,these things might slow down on flat roads because they re underpowered,these things might slow down on hills because they re underpowered,119,d) these things might slow down on hills because they re underpowered,d,science,cause prediction,a) these things might slow down on flat roads because they re underpowered b,a,0
113,115,33NKDW9FFZWD2C3ZIK5DEKLXUCBCXN##3YMU66OBIQNWKIHJ54PCQ9E7WCYGHZ##AGUF6B4Q9991D##Blog_77242##q1_a1##32LAQ1JNTB327PBFZ1PGJNMXOKIUTS,"I never did get to talk about my take on the Sabres v. Flyers game 3 . The Sabres were ripe for a let down and they sure did n't disappoint . I missed most of it due to 2 rather demanding children and a wife that was at some home interiors party . I thought they picked it up a bit in the third , as Philly appeared to tire out .",What happened as a result of the event ?,The Flyers stop playing the game,Sabre fans felt sad,None of the above choices .,Flyers fans felt sad,1,test,"context: i never did get to talk about my take on the sabres v. flyers game 3 . the sabres were ripe for a let down and they sure did n't disappoint . i missed most of it due to 2 rather demanding children and a wife that was at some home interiors party . i thought they picked it up a bit in the third , as philly appeared to tire out . question: what happened as a result of the event ? options: a) the flyers stop playing the game b) sabre fans felt sad c) none of the above choices d) flyers fans felt sad",sabre fans felt sad,2,cosmosqa,the flyers stop playing the game,sabre fans felt sad,none of the above choices,flyers fans felt sad,141,b) sabre fans felt sad,b,social,effect prediction,b) sabre fans felt sad,b,1
