,task,domain_label,question_type,input,input,output_text,know_pred,know_pred_is_correct,baseline_is_correct,baseline_pred
497,ropes,science, effect comparison,"background: you generally can’t see, smell, taste, hear, or feel radiation. fortunately, there are devices such as geiger counters that can detect radiation. a geiger counter, like the one pictured in the figure below , contains atoms of a gas that is ionized if it encounters radiation. when this happens, the gas atoms change to ions that can carry an electric current. the current causes the geiger counter to click. the faster the clicks occur, the higher the level of radiation.
 situation: steve is a geologist and is doing a study on the radioactivity of different rocks. he has gathered two distinctly different rocks for examination. the first rock is red in color, and the second is purple in color. he has brought along a geiger counter to help him with his study. the red rock ends up making the geiger counter click very rapidly, while the purple rock barely registers any clicks.
 question: is the purple rock more or less radioactive than the red rock?","background: you generally can’t see, smell, taste, hear, or feel radiation. fortunately, there are devices such as geiger counters that can detect radiation. a geiger counter, like the one pictured in the figure below , contains atoms of a gas that is ionized if it encounters radiation. when this happens, the gas atoms change to ions that can carry an electric current. the current causes the geiger counter to click. the faster the clicks occur, the higher the level of radiation.
 situation: steve is a geologist and is doing a study on the radioactivity of different rocks. he has gathered two distinctly different rocks for examination. the first rock is red in color, and the second is purple in color. he has brought along a geiger counter to help him with his study. the red rock ends up making the geiger counter click very rapidly, while the purple rock barely registers any clicks.
 question: is the purple rock more or less radioactive than the red rock?",less,The purple rock is less radioactive than the red rock.,1,1,The purple rock is less radioactive than the red rock.
211,ropes,commonsense, effect comparison,"background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: there were a lot of motorcycles on interstate 11 last week. on wednesday, there were 1500 motorcyclists. on thursday, there were 2500 motorcyclists. on friday, there were 3500 motorcyclists. on saturday, there were 4500 motorcyclists. on sunday, there were 5500 motorcyclists. on monday, there were 6500 motorcyclists. on tuesday, there were 7500 motorcyclists.
 question: what day had a lower crash rate per cyclist: friday or monday?","background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: there were a lot of motorcycles on interstate 11 last week. on wednesday, there were 1500 motorcyclists. on thursday, there were 2500 motorcyclists. on friday, there were 3500 motorcyclists. on saturday, there were 4500 motorcyclists. on sunday, there were 5500 motorcyclists. on monday, there were 6500 motorcyclists. on tuesday, there were 7500 motorcyclists.
 question: what day had a lower crash rate per cyclist: friday or monday?",monday,Friday,0,1,Monday
101,ropes,commonsense, effect prediction,"background: about 10% of sedimentary rocks are limestones. the solubility of limestone in water and weak acid solutions leads to karst landscapes, in which water erodes the limestone over thousands to millions of years. most cave systems are through limestone bedrock.
 situation: bob has been planning a trip with some friends, and they have mentioned that they want to see limestone. bob also has a retreat for work that is being planned, and his boss has stated that he doesn't want to travel to a place with high amounts of limestone, as he finds it boring. bob's travel agent has supplied him with two options for vacation, mt. pike, and meramec caverns.
 question: will bob's boss be happy or bored if they go to meramec caverns?","background: about 10% of sedimentary rocks are limestones. the solubility of limestone in water and weak acid solutions leads to karst landscapes, in which water erodes the limestone over thousands to millions of years. most cave systems are through limestone bedrock.
 situation: bob has been planning a trip with some friends, and they have mentioned that they want to see limestone. bob also has a retreat for work that is being planned, and his boss has stated that he doesn't want to travel to a place with high amounts of limestone, as he finds it boring. bob's travel agent has supplied him with two options for vacation, mt. pike, and meramec caverns.
 question: will bob's boss be happy or bored if they go to meramec caverns?",bored,Bored,1,0,Bored.
334,ropes,commonsense, effect comparison,"background: the primary advantage held by a player in late position is that he will have more information with which to make better decisions than players in early position, who will have to act first, without the benefit of this extra information. this advantage has led to many players in heads-up play raising on the button with an extremely wide range of hands because of this positional advantage.[3] also, as earlier opponents fold, the probability of a hand being the best goes up as the number of opponents goes down.
 situation: steve is in a poker tournament in the coming week. the tournament is broken up into two rounds. in the first round, steve drew an early position at the table which will be on saturday, and in the second round he drew a late position which will take place on sunday. steve hopes to win as the pot for winning is rather large.
 question: will steve most likely make worse decisions for his hands on saturday or sunday?","background: the primary advantage held by a player in late position is that he will have more information with which to make better decisions than players in early position, who will have to act first, without the benefit of this extra information. this advantage has led to many players in heads-up play raising on the button with an extremely wide range of hands because of this positional advantage.[3] also, as earlier opponents fold, the probability of a hand being the best goes up as the number of opponents goes down.
 situation: steve is in a poker tournament in the coming week. the tournament is broken up into two rounds. in the first round, steve drew an early position at the table which will be on saturday, and in the second round he drew a late position which will take place on sunday. steve hopes to win as the pot for winning is rather large.
 question: will steve most likely make worse decisions for his hands on saturday or sunday?",saturday,Steve will most likely make worse decisions for his hands on Saturday.,1,1,Steve will most likely make worse decisions for his hands on Saturday.
475,ropes,science, cause prediction,"background: blue ice occurs when snow falls on a glacier, is compressed, and becomes part of the glacier. air bubbles are squeezed out and ice crystals enlarge, making the ice appear blue.

small amounts of regular ice appear to be white because of air bubbles inside them and also because small quantities of water appear to be colourless. in glaciers, the pressure causes the air bubbles to be squeezed out, increasing the density of the created ice. large quantities of water appear to be blue, as it absorbs other colours more efficiently than blue. a large piece of compressed ice, or a glacier, similarly appears blue.
 situation: a science team has been dispatched to the arctic for a study project. the teams objective is to study various forms of ice formations. they will look at a glacier in the area, and also a frozen over lake. the team is excited to gather different data while on the trip.
 question: where should the science team go if they want to see ice that appears blue?","background: blue ice occurs when snow falls on a glacier, is compressed, and becomes part of the glacier. air bubbles are squeezed out and ice crystals enlarge, making the ice appear blue.

small amounts of regular ice appear to be white because of air bubbles inside them and also because small quantities of water appear to be colourless. in glaciers, the pressure causes the air bubbles to be squeezed out, increasing the density of the created ice. large quantities of water appear to be blue, as it absorbs other colours more efficiently than blue. a large piece of compressed ice, or a glacier, similarly appears blue.
 situation: a science team has been dispatched to the arctic for a study project. the teams objective is to study various forms of ice formations. they will look at a glacier in the area, and also a frozen over lake. the team is excited to gather different data while on the trip.
 question: where should the science team go if they want to see ice that appears blue?",glacier,The science team should go to the glacier in the Arctic if they want to see ice that appears blue,1,1,The science team should go to the glacier to see ice that appears blue.
336,ropes,commonsense, effect comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: tom had a busy day storing xml. at 2 pm, he stored 10 gigabytes to the database. at 3 pm, he stored 20 gigabytes to the database. at 4 pm, he stored 30 gigabytes to the database. at 5 pm, he got dinner. at 6 pm, he stored 40 gigabytes to the database. at 7 pm, he stored 50 gigabytes to the database. at 8 pm, he went to sleep to finish storing xml in the morning.
 question: what time did cpu load go up: 7 pm or 8 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: tom had a busy day storing xml. at 2 pm, he stored 10 gigabytes to the database. at 3 pm, he stored 20 gigabytes to the database. at 4 pm, he stored 30 gigabytes to the database. at 5 pm, he got dinner. at 6 pm, he stored 40 gigabytes to the database. at 7 pm, he stored 50 gigabytes to the database. at 8 pm, he went to sleep to finish storing xml in the morning.
 question: what time did cpu load go up: 7 pm or 8 pm?",7 pm,7 PM,1,1,7 PM
440,ropes,science, effect comparison,"background: in common everyday speech, speed of sound refers to the speed of sound waves in air. however, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids. for example, (as noted above), sound travels at 343 m/s in air; it travels at 1,480 m/s in water (4.3 times as fast as in air); and at 5,120 m/s in iron (about 15 times as fast as in air). in an exceptionally stiff material such as diamond, sound travels at 12,000 metres per second (27,000 mph);[1] (about 35 times as fast as in air) which is around the maximum speed that sound will travel under normal conditions.
 situation: a popular radio station was playing the classic rock songs. there was a radio in a car with a lot of obstacles between the station. there was a fire with a lot of smoke, a river, and a mountain. the man driving the car had a great time listening to the classics.
 question: where was the radio signal traveling at the quickest speed: river or smoke?","background: in common everyday speech, speed of sound refers to the speed of sound waves in air. however, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids. for example, (as noted above), sound travels at 343 m/s in air; it travels at 1,480 m/s in water (4.3 times as fast as in air); and at 5,120 m/s in iron (about 15 times as fast as in air). in an exceptionally stiff material such as diamond, sound travels at 12,000 metres per second (27,000 mph);[1] (about 35 times as fast as in air) which is around the maximum speed that sound will travel under normal conditions.
 situation: a popular radio station was playing the classic rock songs. there was a radio in a car with a lot of obstacles between the station. there was a fire with a lot of smoke, a river, and a mountain. the man driving the car had a great time listening to the classics.
 question: where was the radio signal traveling at the quickest speed: river or smoke?",river,river,1,1,river
173,ropes,commonsense, effect comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: eliseo had a busy day storing xml. in the morning, he filled up many hard drives with xml. in the afternoon, he filled up a few hard drives with xml. at night, he filled up a hard drive with xml.
 question: what time did storage costs go up the most: afternoon or night?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: eliseo had a busy day storing xml. in the morning, he filled up many hard drives with xml. in the afternoon, he filled up a few hard drives with xml. at night, he filled up a hard drive with xml.
 question: what time did storage costs go up the most: afternoon or night?",afternoon,Night,0,1,Afternoon
2,ropes,commonsense, cause comparison,"background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: steven loves biking to get to and from places instead of driving his car. this weekend he is planning a long bike ride along the city streets to see some sites. he is however, concerned with traffic, and knows that it can sometimes be dangerous. he has wonder if he should travel with some friends for the ride, or just go alone.
 question: which would be the least crash prone way to travel for steven?","background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: steven loves biking to get to and from places instead of driving his car. this weekend he is planning a long bike ride along the city streets to see some sites. he is however, concerned with traffic, and knows that it can sometimes be dangerous. he has wonder if he should travel with some friends for the ride, or just go alone.
 question: which would be the least crash prone way to travel for steven?",travel with some friends,Traveling with some friends.,1,0,Traveling with friends would be the least crash-prone way for Steven.
333,ropes,science, effect comparison,"background: the water cycle involves the exchange of energy, which leads to temperature changes. when water evaporates, it takes up energy from its surroundings and cools the environment. when it condenses, it releases energy and warms the environment. these heat exchanges influence climate.
 situation: the community around lake michigan experienced an insane weather week. on sunday, 2 inches of lake charles evaporated. on monday, another inch of lake charles evaporated. on tuesday, 3 more inches of lake charles evaporated. on wednesday, thursday, friday, and saturday, there was condensation all day.
 question: which day did the environment in the town have a higher cooling: wednesday or monday?","background: the water cycle involves the exchange of energy, which leads to temperature changes. when water evaporates, it takes up energy from its surroundings and cools the environment. when it condenses, it releases energy and warms the environment. these heat exchanges influence climate.
 situation: the community around lake michigan experienced an insane weather week. on sunday, 2 inches of lake charles evaporated. on monday, another inch of lake charles evaporated. on tuesday, 3 more inches of lake charles evaporated. on wednesday, thursday, friday, and saturday, there was condensation all day.
 question: which day did the environment in the town have a higher cooling: wednesday or monday?",monday,Wednesday,0,0,Wednesday
409,ropes,science, effect comparison,"background: shown in the figure below is a cylinder of gas on the left that is at room temperature (300 k). on the right, the cylinder has been heated until the kelvin temperature has doubled to 600 k. the kinetic energy of the gas molecules increases, so collisions with the walls of the container are now more forceful than they were before. as a result, the pressure of the gas doubles. decreasing the temperature would have the opposite effect, and the pressure of an enclosed gas would decrease.
 situation: carl works in a facility that keeps several gasses in tight containment units. he needs to monitor which gasses are under the most pressure for safety reasons. each container has the same amount of gas in it. containment unit a is very hot to the touch, while containment unit b is cool to the touch.
 question: is the gas in containment unit b under more or less pressure than containment unit a?","background: shown in the figure below is a cylinder of gas on the left that is at room temperature (300 k). on the right, the cylinder has been heated until the kelvin temperature has doubled to 600 k. the kinetic energy of the gas molecules increases, so collisions with the walls of the container are now more forceful than they were before. as a result, the pressure of the gas doubles. decreasing the temperature would have the opposite effect, and the pressure of an enclosed gas would decrease.
 situation: carl works in a facility that keeps several gasses in tight containment units. he needs to monitor which gasses are under the most pressure for safety reasons. each container has the same amount of gas in it. containment unit a is very hot to the touch, while containment unit b is cool to the touch.
 question: is the gas in containment unit b under more or less pressure than containment unit a?",less,The gas in Containment Unit B is under less pressure than Containment Unit A.,1,1,The gas in Containment Unit B is under less pressure than Containment Unit A.
70,ropes,commonsense, effect comparison,"background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: there were a lot of motorcycles on interstate 16 last week. on sunday, there were 1255 motorcyclists. on monday, there were 2255 motorcyclists. on tuesday, there were 3251 motorcyclists. on wednesday, there were 4251 motorcyclists. on thursday, there were 5251 motorcyclists. on friday, there were 6251 motorcyclists. on saturday, there were 7251 motorcyclists.
 question: what day had a lower crash rate per cyclist: sunday or saturday?","background: turner et al (2006) derived crash prediction models for this report’s predecessor and found a
pronounced ‘safety in numbers’ effect in the models. using the crash prediction model for mid-block
locations, generic motorist and cyclist volumes can be used to demonstrate the impacts on the
expected crash rate of varying motor vehicle and cycle volumes. as shown in figure 2.20, an increase
in the proportion of cyclists to the overall traffic volume causes an increase in expected crashes at
mid-block locations, but the crash rate increases at a decreasing rate. that is to say, the crash rate per
cyclist goes down as the cycle volume increases.
 situation: there were a lot of motorcycles on interstate 16 last week. on sunday, there were 1255 motorcyclists. on monday, there were 2255 motorcyclists. on tuesday, there were 3251 motorcyclists. on wednesday, there were 4251 motorcyclists. on thursday, there were 5251 motorcyclists. on friday, there were 6251 motorcyclists. on saturday, there were 7251 motorcyclists.
 question: what day had a lower crash rate per cyclist: sunday or saturday?",saturday,Saturday,1,0,Sunday had a lower crash rate per cyclist.
209,ropes,commonsense, cause comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: joel had a busy day storing xml. at 5 pm, he stored 11110 gigabytes to the database. at 6 pm, he stored 22220 gigabytes to the database. at 7 pm, he stored 33330 gigabytes to the database. at 8 pm, he got dinner. at 9 pm, he stored 44440 gigabytes to the database. at 10 pm, he stored 55550 gigabytes to the database. at 11 pm, he went to sleep to finish storing xml tomorrow.
 question: what time did cpu load go up: 5 pm or 11 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: joel had a busy day storing xml. at 5 pm, he stored 11110 gigabytes to the database. at 6 pm, he stored 22220 gigabytes to the database. at 7 pm, he stored 33330 gigabytes to the database. at 8 pm, he got dinner. at 9 pm, he stored 44440 gigabytes to the database. at 10 pm, he stored 55550 gigabytes to the database. at 11 pm, he went to sleep to finish storing xml tomorrow.
 question: what time did cpu load go up: 5 pm or 11 pm?",5 pm,11 PM,0,0,11 PM
63,ropes,commonsense, effect comparison,"background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the soap squad met to discuss their experiences. they all said they always had a great experience using soap and used the same amount each time. they told how many times they used soap. milo used it 22 times, anibal used it 32 times, olen used it 42 times, zachariah used it 52 times, dannie used it 62 times, mauro used it 72 times, and orval used it 82 times.
 question: who has a higher tolerance for soap: dannie or orval?","background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the soap squad met to discuss their experiences. they all said they always had a great experience using soap and used the same amount each time. they told how many times they used soap. milo used it 22 times, anibal used it 32 times, olen used it 42 times, zachariah used it 52 times, dannie used it 62 times, mauro used it 72 times, and orval used it 82 times.
 question: who has a higher tolerance for soap: dannie or orval?",orval,Orval,1,0,Dannie
384,ropes,science, effect comparison,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 2nd grade classroom photo was held today. they all gathered by age. dario was the oldest. delmer was the 2nd oldest. mohamed was the 3rd oldest. brice was the 4th oldest. horacio was the 5th oldest. lupe was the 6th oldest. the last one was richie, who was the youngest. they all looked great that day.
 question: who has a greater chance of developing a chronic infection: dario or richie?","background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 2nd grade classroom photo was held today. they all gathered by age. dario was the oldest. delmer was the 2nd oldest. mohamed was the 3rd oldest. brice was the 4th oldest. horacio was the 5th oldest. lupe was the 6th oldest. the last one was richie, who was the youngest. they all looked great that day.
 question: who has a greater chance of developing a chronic infection: dario or richie?",richie,Dario,0,0,Dario.
93,ropes,commonsense, cause prediction,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: paul had a busy day storing xml. at 3 pm, he stored 22111 gigabytes to the database. at 4 pm, he stored 33222 gigabytes to the database. at 5 pm, he stored 44333 gigabytes to the database. at 6 pm, he got dinner. at 7 pm, he stored 55444 gigabytes to the database. at 8 pm, he stored 66555 gigabytes to the database. at 9 pm, he went to sleep to finish storing xml tomorrow afternoon.
 question: what time did storage costs go up:  8 pm or 9 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: paul had a busy day storing xml. at 3 pm, he stored 22111 gigabytes to the database. at 4 pm, he stored 33222 gigabytes to the database. at 5 pm, he stored 44333 gigabytes to the database. at 6 pm, he got dinner. at 7 pm, he stored 55444 gigabytes to the database. at 8 pm, he stored 66555 gigabytes to the database. at 9 pm, he went to sleep to finish storing xml tomorrow afternoon.
 question: what time did storage costs go up:  8 pm or 9 pm?",8 pm,9 PM,0,0,**8 PM**
485,ropes,commonsense, effect comparison,"background: artworks are sold at affordable prices [6] ranging from £5 to £1500. for many of the works, the price goes up as the edition sells out. the edition runs range from 30 to 10,000 editions. each work comes with a digital certificate that is “signed, numbered and authenticated by the artist” [7][8] once an edition is sold out, collectors can resell their works in the online marketplace.
 situation: an old art store had limited edition artworks for sale last week. they all had the same amount for each edition at the beginning of the week. the gross clinic nearly sold out. the ninth wave had half of the editions sold. the last supper only sold a few.
 question: what edition will have a higher chance of having it's price increased: the last supper or the ninth wave?","background: artworks are sold at affordable prices [6] ranging from £5 to £1500. for many of the works, the price goes up as the edition sells out. the edition runs range from 30 to 10,000 editions. each work comes with a digital certificate that is “signed, numbered and authenticated by the artist” [7][8] once an edition is sold out, collectors can resell their works in the online marketplace.
 situation: an old art store had limited edition artworks for sale last week. they all had the same amount for each edition at the beginning of the week. the gross clinic nearly sold out. the ninth wave had half of the editions sold. the last supper only sold a few.
 question: what edition will have a higher chance of having it's price increased: the last supper or the ninth wave?",the ninth wave,The Ninth Wave,1,1,The Ninth Wave
185,ropes,science, effect comparison,"background: to determine the concentration of an acid in an aqueous solution, an acid-base titration is commonly performed. a strong base solution with a known concentration, usually naoh or koh, is added to neutralize the acid solution according to the color change of the indicator with the amount of base added.[7] the titration curve of an acid titrated by a base has two axes, with the base volume on the x-axis and the solution's ph value on the y-axis. the ph of the solution always goes up as the base is added to the solution.
 situation: a chemist was trying to make a new solution to better get rid of stains on the carpet. solution a stayed the same. solution b had 1 ounce of base added. solution c had 2 ounces of base added. solution d had 3 ounces of base added. solution e stayed the same. solution d was proven as the best solution to get rid of carpet stains.
 question: which solution had it's ph level go up: solution e or solution b?","background: to determine the concentration of an acid in an aqueous solution, an acid-base titration is commonly performed. a strong base solution with a known concentration, usually naoh or koh, is added to neutralize the acid solution according to the color change of the indicator with the amount of base added.[7] the titration curve of an acid titrated by a base has two axes, with the base volume on the x-axis and the solution's ph value on the y-axis. the ph of the solution always goes up as the base is added to the solution.
 situation: a chemist was trying to make a new solution to better get rid of stains on the carpet. solution a stayed the same. solution b had 1 ounce of base added. solution c had 2 ounces of base added. solution d had 3 ounces of base added. solution e stayed the same. solution d was proven as the best solution to get rid of carpet stains.
 question: which solution had it's ph level go up: solution e or solution b?",solution b,Solution B.,1,0,Solution E.
33,ropes,commonsense, effect comparison,"background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: alberta has had strange weather the last week. on saturday, there was a cold snap. on sunday, a heat wave happened. on monday, it was normal. on tuesday, another cold snap happened. on wednesday, a heat wave happened. on thursday, it was normal. on friday, a heat wave happened in the morning and a cold snap happened at night.
 question: what day did demand for power go up: thursday or sunday?","background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: alberta has had strange weather the last week. on saturday, there was a cold snap. on sunday, a heat wave happened. on monday, it was normal. on tuesday, another cold snap happened. on wednesday, a heat wave happened. on thursday, it was normal. on friday, a heat wave happened in the morning and a cold snap happened at night.
 question: what day did demand for power go up: thursday or sunday?",sunday,Sunday,1,1,Sunday
77,ropes,science, effect comparison,"background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the special k club met to discuss their experiences. they all said they always had a great experience using special k and used the same amount each time. they told how many times they used special k. rico used it 72 times, wilton used it 62 times, brant used it 52 times, josiah used it 42 times, lyman used it 32 times, alfonzo used it 22 times, and christoper used it 12 times.
 question: who has a higher tolerance for special k: christoper or rico?","background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the special k club met to discuss their experiences. they all said they always had a great experience using special k and used the same amount each time. they told how many times they used special k. rico used it 72 times, wilton used it 62 times, brant used it 52 times, josiah used it 42 times, lyman used it 32 times, alfonzo used it 22 times, and christoper used it 12 times.
 question: who has a higher tolerance for special k: christoper or rico?",rico,Rico,1,1,Rico
0,ropes,commonsense, cause comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: ian had a busy day storing xml. at 4 pm, he stored 11100 gigabytes to the database. at 5 pm, he stored 22200 gigabytes to the database. at 6 pm, he stored 33300 gigabytes to the database. at 7 pm, he got dinner. at 8 pm, he stored 44400 gigabytes to the database. at 9 pm, he stored 55500 gigabytes to the database. at 10 pm, he went to sleep to finish storing xml in the morning.
 question: what time did storage costs go up:  5 pm or 7 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: ian had a busy day storing xml. at 4 pm, he stored 11100 gigabytes to the database. at 5 pm, he stored 22200 gigabytes to the database. at 6 pm, he stored 33300 gigabytes to the database. at 7 pm, he got dinner. at 8 pm, he stored 44400 gigabytes to the database. at 9 pm, he stored 55500 gigabytes to the database. at 10 pm, he went to sleep to finish storing xml in the morning.
 question: what time did storage costs go up:  5 pm or 7 pm?",5 pm,7 PM,0,0,7 PM
