question_stem,question_para_step,answer_label,answer_label_as_choice,choices,metadata_question_id,metadata_graph_id,metadata_para_id,metadata_question_type,metadata_path_len,split,label,context,input,output,task,input_length,output_text,output_label,preds,choice,is_correct
"suppose error in the replication process happens, how will it affect helix will remain intact.","['The dna strand of a cell decides to replicate', 'Chemicals in the strand break up the helix', 'The helix is split into two', 'The helix forms as the basis of a new dna strand', 'The cell replicates.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:1077:606:63#1,606,1077,EXOGENOUS_EFFECT,3,test,1,The dna strand of a cell decides to replicate. Chemicals in the strand break up the helix. The helix is split into two. The helix forms as the basis of a new dna strand. The cell replicates.,context: 1. the dna strand of a cell decides to replicate 2. chemicals in the strand break up the helix 3. the helix is split into two 4. the helix forms as the basis of a new dna strand 5. the cell replicates. question: suppose error in the replication process happens how will it affect helix will remain intact? options: a) more b) less c) no effect,less,wiqa,93,b) less,b,b) less,b,1
"suppose the habitats are not disturbed happens, how will it affect less frogs.","['An adult frog spawns eggs in water', 'These eggs hatch into tadpoles and continue to live in the water', 'The tadpoles grow developing external gills and a longer tail', 'The tadpole begins storing food in the tail', 'The tadpole develops hind legs and lives off food stored in the it&#x27;s tail', 'The front legs appear and the tadpole&#x27;s tail shortens', 'The tadpole now looks like a young frog', 'The young frog continues to grow to adulthood.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:516:1590:88#0,1590,516,EXOGENOUS_EFFECT,4,test,1,An adult frog spawns eggs in water. These eggs hatch into tadpoles and continue to live in the water. The tadpoles grow developing external gills and a longer tail. The tadpole begins storing food in the tail. The tadpole develops hind legs and lives off food stored in the it&#x27;s tail. The front legs appear and the tadpole&#x27;s tail shortens. The tadpole now looks like a young frog. The young frog continues to grow to adulthood.,context: 1. an adult frog spawns eggs in water 2. these eggs hatch into tadpoles and continue to live in the water 3. the tadpoles grow developing external gills and a longer tail 4. the tadpole begins storing food in the tail 5. the tadpole develops hind legs and lives off food stored in the it&#x27;s tail 6. the front legs appear and the tadpole&#x27;s tail shortens 7. the tadpole now looks like a young frog 8. the young frog continues to grow to adulthood. question: suppose the habitats are not disturbed happens how will it affect less frogs? options: a) more b) less c) no effect,less,wiqa,161,b) less,b,c) no effect,c,0
"suppose there are other plants of the same species nearby happens, how will it affect more flowers wil be pollinated.","['A flowering plant has stamen and pistils', 'An insect ot bird lands on the plant', 'Some of the pollen sticks to it', 'The insect or bird travels to another plant of the same species', 'The pollen is tranferred to the new plant.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:1273:631:83#3,631,1273,EXOGENOUS_EFFECT,3,test,0,A flowering plant has stamen and pistils. An insect ot bird lands on the plant. Some of the pollen sticks to it. The insect or bird travels to another plant of the same species. The pollen is tranferred to the new plant.,context: 1. a flowering plant has stamen and pistils 2. an insect ot bird lands on the plant 3. some of the pollen sticks to it 4. the insect or bird travels to another plant of the same species 5. the pollen is tranferred to the new plant. question: suppose there are other plants of the same species nearby happens how will it affect more flowers wil be pollinated? options: a) more b) less c) no effect,more,wiqa,98,a) more,a,a) more,a,1
"suppose during boiling point happens, how will it affect more evaporation.","['Water is exposed to heat energy, like sunlight', 'The water temperature is raised above 212 degrees fahrenheit', 'The heat breaks down the molecules in the water', 'These molecules escape from the water', 'The water becomes vapor', 'The vapor evaporates into the atmosphere', '']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:127:12:39#0,12,127,EXOGENOUS_EFFECT,4,test,0,"Water is exposed to heat energy, like sunlight. The water temperature is raised above 212 degrees fahrenheit. The heat breaks down the molecules in the water. These molecules escape from the water. The water becomes vapor. The vapor evaporates into the atmosphere.","context: 1. water is exposed to heat energy, like sunlight 2. the water temperature is raised above 212 degrees fahrenheit 3. the heat breaks down the molecules in the water 4. these molecules escape from the water 5. the water becomes vapor 6. the vapor evaporates into the atmosphere 7.  question: suppose during boiling point happens how will it affect more evaporation? options: a) more b) less c) no effect",more,wiqa,81,a) more,a,a) more,a,1
"suppose the process is working as it should happens, how will it affect normal body functions will happen.","['The dna strand of a cell decides to replicate', 'Chemicals in the strand break up the helix', 'The helix is split into two', 'The helix forms as the basis of a new dna strand', 'The cell replicates.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:1077:605:29#0,605,1077,EXOGENOUS_EFFECT,3,test,0,The dna strand of a cell decides to replicate. Chemicals in the strand break up the helix. The helix is split into two. The helix forms as the basis of a new dna strand. The cell replicates.,context: 1. the dna strand of a cell decides to replicate 2. chemicals in the strand break up the helix 3. the helix is split into two 4. the helix forms as the basis of a new dna strand 5. the cell replicates. question: suppose the process is working as it should happens how will it affect normal body functions will happen? options: a) more b) less c) no effect,more,wiqa,94,a) more,a,a) more,a,1
"suppose the helix splits in two happens, how will it affect helping the dna to replicate properly.","['The dna strand of a cell decides to replicate', 'Chemicals in the strand break up the helix', 'The helix is split into two', 'The helix forms as the basis of a new dna strand', 'The cell replicates.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:1077:609:157#1,609,1077,INPARA_EFFECT,3,test,0,The dna strand of a cell decides to replicate. Chemicals in the strand break up the helix. The helix is split into two. The helix forms as the basis of a new dna strand. The cell replicates.,context: 1. the dna strand of a cell decides to replicate 2. chemicals in the strand break up the helix 3. the helix is split into two 4. the helix forms as the basis of a new dna strand 5. the cell replicates. question: suppose the helix splits in two happens how will it affect helping the dna to replicate properly? options: a) more b) less c) no effect,more,wiqa,99,a) more,a,a) more,a,1
"suppose the plates don't move as much happens, how will it affect less water droplets will be formed in clouds.","['Water from oceans, lakes, rivers, swamps, and plants turns into water vapor', 'Water vapor forms droplets in clouds', 'Water droplets in clouds become rain or snow and fall', 'Some water goes into the ground', 'Some water flows down streams into rivers and oceans', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:14:914:174,914,14,OUTOFPARA_DISTRACTOR,0,test,2,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor. Water vapor forms droplets in clouds. Water droplets in clouds become rain or snow and fall. Some water goes into the ground. Some water flows down streams into rivers and oceans.","context: 1. water from oceans, lakes, rivers, swamps, and plants turns into water vapor 2. water vapor forms droplets in clouds 3. water droplets in clouds become rain or snow and fall 4. some water goes into the ground 5. some water flows down streams into rivers and oceans 6.  question: suppose the plates don t move as much happens how will it affect less water droplets will be formed in clouds? options: a) more b) less c) no effect",no effect,wiqa,95,c) no effect,c,c) no effect,c,1
"suppose the earthquake has less force happens, how will it affect larger mountains.","['Tectonic plates beneath the earth rub against each other', 'The rocks around the cracks crumble', 'An earth quake happens', 'The force of the earthquake is large', 'Rocks are pushed up out of the earth by the force', 'These rocks become volcanos', 'The volcanos erupt many times', 'The size of the rocky area grows', 'The volcano becomes dormant', 'The volcano and its eruptions become a mountain.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:80:264:49#1,264,80,INPARA_EFFECT,3,test,0,Tectonic plates beneath the earth rub against each other. The rocks around the cracks crumble. An earth quake happens. The force of the earthquake is large. Rocks are pushed up out of the earth by the force. These rocks become volcanos. The volcanos erupt many times. The size of the rocky area grows. The volcano becomes dormant. The volcano and its eruptions become a mountain.,context: 1. tectonic plates beneath the earth rub against each other 2. the rocks around the cracks crumble 3. an earth quake happens 4. the force of the earthquake is large 5. rocks are pushed up out of the earth by the force 6. these rocks become volcanos 7. the volcanos erupt many times 8. the size of the rocky area grows 9. the volcano becomes dormant 10. the volcano and its eruptions become a mountain. question: suppose the earthquake has less force happens how will it affect larger mountains? options: a) more b) less c) no effect,more,wiqa,116,a) more,a,b) less,b,0
"suppose people make  gardens clost to beehives happens, how will it affect fewer bees will land on flowers.","['A bee lands on the flower', 'Their feet slip into little grooves that hold pollen sacs', 'When the bee flies off, it carries off the pollen sac', 'The bee lands on another plant', 'The pollen sac falls off and pollinates the plant', '']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:743:1917:36#1,1917,743,EXOGENOUS_EFFECT,3,test,1,"A bee lands on the flower. Their feet slip into little grooves that hold pollen sacs. When the bee flies off, it carries off the pollen sac. The bee lands on another plant. The pollen sac falls off and pollinates the plant.","context: 1. a bee lands on the flower 2. their feet slip into little grooves that hold pollen sacs 3. when the bee flies off, it carries off the pollen sac 4. the bee lands on another plant 5. the pollen sac falls off and pollinates the plant 6.  question: suppose people make gardens clost to beehives happens how will it affect fewer bees will land on flowers? options: a) more b) less c) no effect",less,wiqa,103,b) less,b,b) less,b,1
"suppose if the heat increases happens, how will it affect more fish.","['Fish lays eggs', 'Eggs hatch', 'Tiny fish called fry emerge', 'Fry eat and grow', 'Fry become adult fish', 'Fish mate and more eggs are produced.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:640:1162:29,1162,640,OUTOFPARA_DISTRACTOR,0,test,2,Fish lays eggs. Eggs hatch. Tiny fish called fry emerge. Fry eat and grow. Fry become adult fish. Fish mate and more eggs are produced.,context: 1. fish lays eggs 2. eggs hatch 3. tiny fish called fry emerge 4. fry eat and grow 5. fry become adult fish 6. fish mate and more eggs are produced. question: suppose if the heat increases happens how will it affect more fish? options: a) more b) less c) no effect,no effect,wiqa,64,c) no effect,c,c) no effect,c,1
"suppose tectonic plates smash less hard happens, how will it affect more mountain ranges form.","['Tectonic plates smash together', 'The edges of the plates crumple up', 'The ridges are mountain ranges', 'Magma is forced to the surface', 'Magma forms a volcano.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:115:2078:21#1,2078,115,INPARA_EFFECT,2,test,1,Tectonic plates smash together. The edges of the plates crumple up. The ridges are mountain ranges. Magma is forced to the surface. Magma forms a volcano.,context: 1. tectonic plates smash together 2. the edges of the plates crumple up 3. the ridges are mountain ranges 4. magma is forced to the surface 5. magma forms a volcano. question: suppose tectonic plates smash less hard happens how will it affect more mountain ranges form? options: a) more b) less c) no effect,less,wiqa,76,b) less,b,b) less,b,1
"suppose other insects invade the bee hive happens, how will it affect less pollen is distributed to other areas.","['Bees land on flowers and eat the nectar of the plants', 'While on the flowers pollen gets on the bee&#x27;s fur', 'The bee flies to another area with other flowers', 'The pollen is deposited in that area', 'A plant is able to reproduce.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:744:1011:137#2,1011,744,EXOGENOUS_EFFECT,3,test,0,Bees land on flowers and eat the nectar of the plants. While on the flowers pollen gets on the bee&#x27;s fur. The bee flies to another area with other flowers. The pollen is deposited in that area. A plant is able to reproduce.,context: 1. bees land on flowers and eat the nectar of the plants 2. while on the flowers pollen gets on the bee&#x27;s fur 3. the bee flies to another area with other flowers 4. the pollen is deposited in that area 5. a plant is able to reproduce. question: suppose other insects invade the bee hive happens how will it affect less pollen is distributed to other areas? options: a) more b) less c) no effect,more,wiqa,98,a) more,a,b) less,b,0
"suppose if more eggs are layed happens, how will it affect more frogs.","['The frog eggs hatch', 'The tadpole breaks free', 'Slowly, the gills disappear over the next 6 weeks', 'The hind legs begin to form at 8 weeks', 'The front legs form at 12 weeks', 'The tail shrinks', 'The mouth grows larger', 'The tadpole can live on land as a frog', '']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:517:1820:22#0,1820,517,INPARA_EFFECT,3,test,1,"The frog eggs hatch. The tadpole breaks free. Slowly, the gills disappear over the next 6 weeks. The hind legs begin to form at 8 weeks. The front legs form at 12 weeks. The tail shrinks. The mouth grows larger. The tadpole can live on land as a frog.","context: 1. the frog eggs hatch 2. the tadpole breaks free 3. slowly, the gills disappear over the next 6 weeks 4. the hind legs begin to form at 8 weeks 5. the front legs form at 12 weeks 6. the tail shrinks 7. the mouth grows larger 8. the tadpole can live on land as a frog 9.  question: suppose if more eggs are layed happens how will it affect more frogs? options: a) more b) less c) no effect",less,wiqa,105,b) less,b,a) more,a,0
"suppose a large period of time happens, how will it affect no insects or birds land on the plant.","['A flowering plant has stamen and pistils', 'An insect ot bird lands on the plant', 'Some of the pollen sticks to it', 'The insect or bird travels to another plant of the same species', 'The pollen is tranferred to the new plant.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:1273:630:81,630,1273,OUTOFPARA_DISTRACTOR,0,test,2,A flowering plant has stamen and pistils. An insect ot bird lands on the plant. Some of the pollen sticks to it. The insect or bird travels to another plant of the same species. The pollen is tranferred to the new plant.,context: 1. a flowering plant has stamen and pistils 2. an insect ot bird lands on the plant 3. some of the pollen sticks to it 4. the insect or bird travels to another plant of the same species 5. the pollen is tranferred to the new plant. question: suppose a large period of time happens how will it affect no insects or birds land on the plant? options: a) more b) less c) no effect,no effect,wiqa,94,c) no effect,c,c) no effect,c,1
"suppose more eggs survive being layed happens, how will it affect more bees transport pollen.","['A bee lands on the flower', 'Their feet slip into little grooves that hold pollen sacs', 'When the bee flies off, it carries off the pollen sac', 'The bee lands on another plant', 'The pollen sac falls off and pollinates the plant', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:743:1918:97,1918,743,OUTOFPARA_DISTRACTOR,0,test,2,"A bee lands on the flower. Their feet slip into little grooves that hold pollen sacs. When the bee flies off, it carries off the pollen sac. The bee lands on another plant. The pollen sac falls off and pollinates the plant.","context: 1. a bee lands on the flower 2. their feet slip into little grooves that hold pollen sacs 3. when the bee flies off, it carries off the pollen sac 4. the bee lands on another plant 5. the pollen sac falls off and pollinates the plant 6.  question: suppose more eggs survive being layed happens how will it affect more bees transport pollen? options: a) more b) less c) no effect",no effect,wiqa,95,c) no effect,c,c) no effect,c,1
"suppose the habitats are not disturbed happens, how will it affect more food will be required for the frogs.","['An adult frog spawns eggs in water', 'These eggs hatch into tadpoles and continue to live in the water', 'The tadpoles grow developing external gills and a longer tail', 'The tadpole begins storing food in the tail', 'The tadpole develops hind legs and lives off food stored in the it&#x27;s tail', 'The front legs appear and the tadpole&#x27;s tail shortens', 'The tadpole now looks like a young frog', 'The young frog continues to grow to adulthood.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:516:1590:83#0,1590,516,EXOGENOUS_EFFECT,3,test,0,An adult frog spawns eggs in water. These eggs hatch into tadpoles and continue to live in the water. The tadpoles grow developing external gills and a longer tail. The tadpole begins storing food in the tail. The tadpole develops hind legs and lives off food stored in the it&#x27;s tail. The front legs appear and the tadpole&#x27;s tail shortens. The tadpole now looks like a young frog. The young frog continues to grow to adulthood.,context: 1. an adult frog spawns eggs in water 2. these eggs hatch into tadpoles and continue to live in the water 3. the tadpoles grow developing external gills and a longer tail 4. the tadpole begins storing food in the tail 5. the tadpole develops hind legs and lives off food stored in the it&#x27;s tail 6. the front legs appear and the tadpole&#x27;s tail shortens 7. the tadpole now looks like a young frog 8. the young frog continues to grow to adulthood. question: suppose the habitats are not disturbed happens how will it affect more food will be required for the frogs? options: a) more b) less c) no effect,more,wiqa,167,a) more,a,b) less,b,0
"suppose something is wrong and not working properly happens, how will it affect decrease the dna effectiveness and harming the body..","['The dna strand of a cell decides to replicate', 'Chemicals in the strand break up the helix', 'The helix is split into two', 'The helix forms as the basis of a new dna strand', 'The cell replicates.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:1077:605:37#1,605,1077,EXOGENOUS_EFFECT,3,test,0,The dna strand of a cell decides to replicate. Chemicals in the strand break up the helix. The helix is split into two. The helix forms as the basis of a new dna strand. The cell replicates.,context: 1. the dna strand of a cell decides to replicate 2. chemicals in the strand break up the helix 3. the helix is split into two 4. the helix forms as the basis of a new dna strand 5. the cell replicates. question: suppose something is wrong and not working properly happens how will it affect decrease the dna effectiveness and harming the body? options: a) more b) less c) no effect,more,wiqa,101,a) more,a,b) less,b,0
"suppose more vapor becomes clouds happens, how will it affect there is less water in the atmosphere.","['Water from a lake or ocean evaporates', 'The water vapor enters the atmosphere', 'The water vapor accumulates', 'The vapor becomes clouds', 'The clouds become too heaavy', 'Precipitation occurs.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:949:1419:21#1,1419,949,INPARA_EFFECT,2,test,1,Water from a lake or ocean evaporates. The water vapor enters the atmosphere. The water vapor accumulates. The vapor becomes clouds. The clouds become too heaavy. Precipitation occurs.,context: 1. water from a lake or ocean evaporates 2. the water vapor enters the atmosphere 3. the water vapor accumulates 4. the vapor becomes clouds 5. the clouds become too heaavy 6. precipitation occurs. question: suppose more vapor becomes clouds happens how will it affect there is less water in the atmosphere? options: a) more b) less c) no effect,less,wiqa,78,b) less,b,b) less,b,1
"suppose there are fewer flowers happens, how will it affect less tad poles lose their tail.","['The frog&#x27;s egg hatches and a tadpole is born', 'The tadpole swims with its siblings and tries to survive', 'The tadpole grows larger', 'The tadpole loses its tail', 'The tadpole develops limbs', 'And the tadpole now becomes a frog.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:643:1697:95,1697,643,OUTOFPARA_DISTRACTOR,0,test,2,The frog&#x27;s egg hatches and a tadpole is born. The tadpole swims with its siblings and tries to survive. The tadpole grows larger. The tadpole loses its tail. The tadpole develops limbs. And the tadpole now becomes a frog.,context: 1. the frog&#x27;s egg hatches and a tadpole is born 2. the tadpole swims with its siblings and tries to survive 3. the tadpole grows larger 4. the tadpole loses its tail 5. the tadpole develops limbs 6. and the tadpole now becomes a frog. question: suppose there are fewer flowers happens how will it affect less tad poles lose their tail? options: a) more b) less c) no effect,no effect,wiqa,119,c) no effect,c,c) no effect,c,1
"suppose if the hatched eggs are strong happens, how will it affect more frogs.","['The frog eggs hatch', 'The tadpole breaks free', 'Slowly, the gills disappear over the next 6 weeks', 'The hind legs begin to form at 8 weeks', 'The front legs form at 12 weeks', 'The tail shrinks', 'The mouth grows larger', 'The tadpole can live on land as a frog', '']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:517:1820:22#1,1820,517,INPARA_EFFECT,3,test,1,"The frog eggs hatch. The tadpole breaks free. Slowly, the gills disappear over the next 6 weeks. The hind legs begin to form at 8 weeks. The front legs form at 12 weeks. The tail shrinks. The mouth grows larger. The tadpole can live on land as a frog.","context: 1. the frog eggs hatch 2. the tadpole breaks free 3. slowly, the gills disappear over the next 6 weeks 4. the hind legs begin to form at 8 weeks 5. the front legs form at 12 weeks 6. the tail shrinks 7. the mouth grows larger 8. the tadpole can live on land as a frog 9.  question: suppose if the hatched eggs are strong happens how will it affect more frogs? options: a) more b) less c) no effect",less,wiqa,107,b) less,b,a) more,a,0
"suppose less heat underground happens, how will it affect there are fewer green spaces.","['A flowering plant has stamen and pistils', 'An insect ot bird lands on the plant', 'Some of the pollen sticks to it', 'The insect or bird travels to another plant of the same species', 'The pollen is tranferred to the new plant.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:1273:629:50,629,1273,OUTOFPARA_DISTRACTOR,0,test,2,A flowering plant has stamen and pistils. An insect ot bird lands on the plant. Some of the pollen sticks to it. The insect or bird travels to another plant of the same species. The pollen is tranferred to the new plant.,context: 1. a flowering plant has stamen and pistils 2. an insect ot bird lands on the plant 3. some of the pollen sticks to it 4. the insect or bird travels to another plant of the same species 5. the pollen is tranferred to the new plant. question: suppose less heat underground happens how will it affect there are fewer green spaces? options: a) more b) less c) no effect,no effect,wiqa,89,c) no effect,c,c) no effect,c,1
"suppose there are favourable conditions happens, how will it affect fewer eggs hatch.","['A female fish lays eggs', 'Larvae hatch from the eggs', 'The larvae eat and grow', 'The larvae form into juvenile fish', 'The juvenile fish grow into adult fish', 'The adult fish mate', 'The female fish lays eggs.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:520:1051:84#0,1051,520,EXOGENOUS_EFFECT,3,test,1,A female fish lays eggs. Larvae hatch from the eggs. The larvae eat and grow. The larvae form into juvenile fish. The juvenile fish grow into adult fish. The adult fish mate. The female fish lays eggs.,context: 1. a female fish lays eggs 2. larvae hatch from the eggs 3. the larvae eat and grow 4. the larvae form into juvenile fish 5. the juvenile fish grow into adult fish 6. the adult fish mate 7. the female fish lays eggs. question: suppose there are favourable conditions happens how will it affect fewer eggs hatch? options: a) more b) less c) no effect,less,wiqa,80,b) less,b,b) less,b,1
"suppose the replication process runs smoothly happens, how will it affect if water stops getting evaporated.","['Water from oceans, lakes, rivers, swamps, and plants turns into water vapor', 'Water vapor forms droplets in clouds', 'Water droplets in clouds become rain or snow and fall', 'Some water goes into the ground', 'Some water flows down streams into rivers and oceans', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:14:914:169,914,14,OUTOFPARA_DISTRACTOR,0,test,2,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor. Water vapor forms droplets in clouds. Water droplets in clouds become rain or snow and fall. Some water goes into the ground. Some water flows down streams into rivers and oceans.","context: 1. water from oceans, lakes, rivers, swamps, and plants turns into water vapor 2. water vapor forms droplets in clouds 3. water droplets in clouds become rain or snow and fall 4. some water goes into the ground 5. some water flows down streams into rivers and oceans 6.  question: suppose the replication process runs smoothly happens how will it affect if water stops getting evaporated? options: a) more b) less c) no effect",no effect,wiqa,90,c) no effect,c,c) no effect,c,1
"suppose you have less access to water happens, how will it affect less bees are flying around.","['Bees land on flowers to gather nectar', 'Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers', 'When the bees fly away, the pollen goes with the bees', 'The bees land on other flowers', 'The pollen sacs are rubbed off onto the stigma of the new flower', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:444:1758:122,1758,444,OUTOFPARA_DISTRACTOR,0,test,2,"Bees land on flowers to gather nectar. Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers. When the bees fly away, the pollen goes with the bees. The bees land on other flowers. The pollen sacs are rubbed off onto the stigma of the new flower.","context: 1. bees land on flowers to gather nectar 2. little hairs on the bees legs attach to pollen sacs from the stamens of the flowers 3. when the bees fly away, the pollen goes with the bees 4. the bees land on other flowers 5. the pollen sacs are rubbed off onto the stigma of the new flower 6.  question: suppose you have less access to water happens how will it affect less bees are flying around? options: a) more b) less c) no effect",no effect,wiqa,111,c) no effect,c,c) no effect,c,1
"suppose the farmers are subsidized more happens, how will it affect more crops grow.","['The farmer chooses a crop that will grow well in his region', 'The farmer tills the soil to loosen it', 'The farmer spreads seeds', 'The farmer tills again to plant the seeds', 'Crops grow.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:690:1349:56#1,1349,690,EXOGENOUS_EFFECT,3,test,0,The farmer chooses a crop that will grow well in his region. The farmer tills the soil to loosen it. The farmer spreads seeds. The farmer tills again to plant the seeds. Crops grow.,context: 1. the farmer chooses a crop that will grow well in his region 2. the farmer tills the soil to loosen it 3. the farmer spreads seeds 4. the farmer tills again to plant the seeds 5. crops grow. question: suppose the farmers are subsidized more happens how will it affect more crops grow? options: a) more b) less c) no effect,more,wiqa,77,a) more,a,b) less,b,0
"suppose frog is not safe in the water happens, how will it affect more igneous rock forming.","['Different kinds of rocks melt into magma', 'Magma cools in the crust', 'Magma goes to the surface and becomes lava', 'Lava cools', 'Cooled magma and lava become igneous rock.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:35:902:186,902,35,OUTOFPARA_DISTRACTOR,0,test,2,Different kinds of rocks melt into magma. Magma cools in the crust. Magma goes to the surface and becomes lava. Lava cools. Cooled magma and lava become igneous rock.,context: 1. different kinds of rocks melt into magma 2. magma cools in the crust 3. magma goes to the surface and becomes lava 4. lava cools 5. cooled magma and lava become igneous rock. question: suppose frog is not safe in the water happens how will it affect more igneous rock forming? options: a) more b) less c) no effect,no effect,wiqa,87,c) no effect,c,c) no effect,c,1
"suppose something is wrong and not working properly happens, how will it affect less young fish to grow.","['An adult fish lays eggs', 'The eggs incubate for a few weeks or months before hatching', 'The young fish remain where they hatched until they are big enough to venture into the open water', 'The fish continue to grow', 'The fish reach adulthood', 'Reproduce continuing the cycle.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:518:464:136,464,518,OUTOFPARA_DISTRACTOR,0,test,2,An adult fish lays eggs. The eggs incubate for a few weeks or months before hatching. The young fish remain where they hatched until they are big enough to venture into the open water. The fish continue to grow. The fish reach adulthood. Reproduce continuing the cycle.,context: 1. an adult fish lays eggs 2. the eggs incubate for a few weeks or months before hatching 3. the young fish remain where they hatched until they are big enough to venture into the open water 4. the fish continue to grow 5. the fish reach adulthood 6. reproduce continuing the cycle. question: suppose something is wrong and not working properly happens how will it affect less young fish to grow? options: a) more b) less c) no effect,no effect,wiqa,95,c) no effect,c,a) more,a,0
"suppose the farmer buys enough fertilizer happens, how will it affect more frogs.","['An adult frog spawns eggs in water', 'These eggs hatch into tadpoles and continue to live in the water', 'The tadpoles grow developing external gills and a longer tail', 'The tadpole begins storing food in the tail', 'The tadpole develops hind legs and lives off food stored in the it&#x27;s tail', 'The front legs appear and the tadpole&#x27;s tail shortens', 'The tadpole now looks like a young frog', 'The young frog continues to grow to adulthood.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:516:1591:183,1591,516,OUTOFPARA_DISTRACTOR,0,test,2,An adult frog spawns eggs in water. These eggs hatch into tadpoles and continue to live in the water. The tadpoles grow developing external gills and a longer tail. The tadpole begins storing food in the tail. The tadpole develops hind legs and lives off food stored in the it&#x27;s tail. The front legs appear and the tadpole&#x27;s tail shortens. The tadpole now looks like a young frog. The young frog continues to grow to adulthood.,context: 1. an adult frog spawns eggs in water 2. these eggs hatch into tadpoles and continue to live in the water 3. the tadpoles grow developing external gills and a longer tail 4. the tadpole begins storing food in the tail 5. the tadpole develops hind legs and lives off food stored in the it&#x27;s tail 6. the front legs appear and the tadpole&#x27;s tail shortens 7. the tadpole now looks like a young frog 8. the young frog continues to grow to adulthood. question: suppose the farmer buys enough fertilizer happens how will it affect more frogs? options: a) more b) less c) no effect,no effect,wiqa,162,c) no effect,c,c) no effect,c,1
"suppose being in the desert happens, how will it affect helping the dna to replicate properly.","['DNA replication is initiated by proteins', 'The hydrogen bonds that hold together a strand of DNA are broken', 'A polymerase reads each side of the strand', 'Adds complimentary nucleotides', 'Once all the bases are matched, the new DNA strand is formed', 'DNA ligase seals the new pieces into two new strands', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:1078:2092:110,2092,1078,OUTOFPARA_DISTRACTOR,0,test,2,"DNA replication is initiated by proteins. The hydrogen bonds that hold together a strand of DNA are broken. A polymerase reads each side of the strand. Adds complimentary nucleotides. Once all the bases are matched, the new DNA strand is formed. DNA ligase seals the new pieces into two new strands.","context: 1. dna replication is initiated by proteins 2. the hydrogen bonds that hold together a strand of dna are broken 3. a polymerase reads each side of the strand 4. adds complimentary nucleotides 5. once all the bases are matched, the new dna strand is formed 6. dna ligase seals the new pieces into two new strands 7.  question: suppose being in the desert happens how will it affect helping the dna to replicate properly? options: a) more b) less c) no effect",no effect,wiqa,108,c) no effect,c,c) no effect,c,1
