task,is_correct,domain_label,question_type,input,input,output_text,preds
anli,1,commonsense,cause prediction,context: observation 1. we attended a halloween observation 2. the host was scandalized. question: what is the most plausible hypothesis? options: a) the host boyfriend proposed to her in front of everyone b) the host had too much to drink and flirted with someone who was not his wife,context: observation 1. we attended a halloween observation 2. the host was scandalized. question: what is the most plausible hypothesis? options: a) the host boyfriend proposed to her in front of everyone b) the host had too much to drink and flirted with someone who was not his wife,b) the host had too much to drink and flirted with someone who was not his wife,b) the host had too much to drink and flirted with someone who was not
anli,1,commonsense,cause prediction,"context: observation 1. sally's two dogs love to ride in in her car. observation 2. once the errands were done, the dogs were not happy to go back home. question: what is the most plausible hypothesis? options: a) sally took the dogs with her when she had to run errands b) sally took her drugs on errands","context: observation 1. sally's two dogs love to ride in in her car. observation 2. once the errands were done, the dogs were not happy to go back home. question: what is the most plausible hypothesis? options: a) sally took the dogs with her when she had to run errands b) sally took her drugs on errands",a) sally took the dogs with her when she had to run errands,a) sally took the dogs with her when she had to run err
anli,0,social,cause prediction,context: observation 1. today was the first day of school. observation 2. i hate school. question: what is the most plausible hypothesis? options: a) my teacher was mean and the other students laughed at my shirt b) i tried making tacos but none seemed to like them,context: observation 1. today was the first day of school. observation 2. i hate school. question: what is the most plausible hypothesis? options: a) my teacher was mean and the other students laughed at my shirt b) i tried making tacos but none seemed to like them,a) my teacher was mean and the other students laughed at my shirt,b) i tried making tacos but none seemed to like them
anli,1,social,cause prediction,context: observation 1. tim was at a party observation 2. he threw up and had to be taken home. question: what is the most plausible hypothesis? options: a) tim got sick from drinking b) tim started dancing the funky chicken,context: observation 1. tim was at a party observation 2. he threw up and had to be taken home. question: what is the most plausible hypothesis? options: a) tim got sick from drinking b) tim started dancing the funky chicken,a) tim got sick from drinking,a) tim got sick from drinking
anli,1,social,effect prediction,context: observation 1. jimmy grew up very poor. observation 2. jimmy called his parents and cursed at them. question: what is the most plausible hypothesis? options: a) so he dropped out of school and left home b) so he dropped out of the sky and left home,context: observation 1. jimmy grew up very poor. observation 2. jimmy called his parents and cursed at them. question: what is the most plausible hypothesis? options: a) so he dropped out of school and left home b) so he dropped out of the sky and left home,a) so he dropped out of school and left home,a) so he dropped out of school and left home
anli,0,commonsense,effect prediction,context: observation 1. jane was out for a walk. observation 2. she took a hot shower and dried her clothes. question: what is the most plausible hypothesis? options: a) suddenly it began to snow b) suddenly it began to warm up,context: observation 1. jane was out for a walk. observation 2. she took a hot shower and dried her clothes. question: what is the most plausible hypothesis? options: a) suddenly it began to snow b) suddenly it began to warm up,a) suddenly it began to snow,b) suddenly it began to warm up
anli,0,social,effect comparison,context: observation 1. my son and daughter are best friends. observation 2. i know that after each fight they always return to being best friends. question: what is the most plausible hypothesis? options: a) they fight a lot but then the make up soon after b) they fight a lot but then forget it soon after,context: observation 1. my son and daughter are best friends. observation 2. i know that after each fight they always return to being best friends. question: what is the most plausible hypothesis? options: a) they fight a lot but then the make up soon after b) they fight a lot but then forget it soon after,a) they fight a lot but then the make up soon after,b) they fight a lot but then forget it soon after
anli,0,commonsense,cause prediction,context: observation 1. gary always brought his lunch to work. observation 2. gary was very upset and went hungry. question: what is the most plausible hypothesis? options: a) however today gary left his lunch at home b) a coworker of garies ate his wallet and gary didnt have any money,context: observation 1. gary always brought his lunch to work. observation 2. gary was very upset and went hungry. question: what is the most plausible hypothesis? options: a) however today gary left his lunch at home b) a coworker of garies ate his wallet and gary didnt have any money,a) however today gary left his lunch at home,b) a coworker of garies ate his wallet and gary didn
anli,0,commonsense,cause prediction,"context: observation 1. terry went to the car dealership and bought a new car. observation 2. terry's car was ruined, but he was thankful to be alive. question: what is the most plausible hypothesis? options: a) terry drove off the lot and immediately was hit by another car b) on his way home terry saw a car hit head on","context: observation 1. terry went to the car dealership and bought a new car. observation 2. terry's car was ruined, but he was thankful to be alive. question: what is the most plausible hypothesis? options: a) terry drove off the lot and immediately was hit by another car b) on his way home terry saw a car hit head on",a) terry drove off the lot and immediately was hit by another car,b) on his way home terry saw a car hit head on
anli,1,commonsense,cause prediction,context: observation 1. sam loved breakfast. observation 2. sam decided to never eat waffles again. question: what is the most plausible hypothesis? options: a) sam made his waffles and had to eat so many that morning b) sam accidentally burnt waffles,context: observation 1. sam loved breakfast. observation 2. sam decided to never eat waffles again. question: what is the most plausible hypothesis? options: a) sam made his waffles and had to eat so many that morning b) sam accidentally burnt waffles,b) sam accidentally burnt waffles,b) sam accidentally burnt waffles
anli,1,commonsense,cause prediction,context: observation 1. dan was making dinner for his family observation 2. the salad was ready to eat! question: what is the most plausible hypothesis? options: a) he chopped up a lot of vegetables while cooking b) dan hadnt purchased anything for salad,context: observation 1. dan was making dinner for his family observation 2. the salad was ready to eat! question: what is the most plausible hypothesis? options: a) he chopped up a lot of vegetables while cooking b) dan hadnt purchased anything for salad,a) he chopped up a lot of vegetables while cooking,a) he chopped up a lot of vegetables while cooking
anli,1,commonsense,cause prediction,context: observation 1. i've always wanted to be able to bike thirty miles at one time. observation 2. i am so out of shape i can't even bike a mile. question: what is the most plausible hypothesis? options: a) i have not been riding or working out though b) i have been riding and working out every day,context: observation 1. i've always wanted to be able to bike thirty miles at one time. observation 2. i am so out of shape i can't even bike a mile. question: what is the most plausible hypothesis? options: a) i have not been riding or working out though b) i have been riding and working out every day,a) i have not been riding or working out though,a) i have not been riding or working out though
anli,1,commonsense,cause prediction,context: observation 1. greg loves girl scout cookies. observation 2. he is immediately regretful. question: what is the most plausible hypothesis? options: a) greg eats too few girl scout cookies b) greg tried a new flavor,context: observation 1. greg loves girl scout cookies. observation 2. he is immediately regretful. question: what is the most plausible hypothesis? options: a) greg eats too few girl scout cookies b) greg tried a new flavor,b) greg tried a new flavor,b) greg tried a new flavor
anli,1,commonsense,cause prediction,context: observation 1. barry loves playing baseball. observation 2. barry decided to leave the game. question: what is the most plausible hypothesis? options: a) barry wasnt getting any work time b) barry went to the ball park but it started raining,context: observation 1. barry loves playing baseball. observation 2. barry decided to leave the game. question: what is the most plausible hypothesis? options: a) barry wasnt getting any work time b) barry went to the ball park but it started raining,b) barry went to the ball park but it started raining,b) barry went to the ball park but it started raining
anli,1,social,cause prediction,"context: observation 1. buddy had a problem drinking. observation 2. with their assistance, buddy finally got sober! question: what is the most plausible hypothesis? options: a) buddy visited the local alcoholics drink here hut b) buddys friends held an intervention and they all decided they would help him quit drinking","context: observation 1. buddy had a problem drinking. observation 2. with their assistance, buddy finally got sober! question: what is the most plausible hypothesis? options: a) buddy visited the local alcoholics drink here hut b) buddys friends held an intervention and they all decided they would help him quit drinking",b) buddys friends held an intervention and they all decided they would help him quit drinking,b) buddys friends held an intervention and they all decided they would help him quit drinking
anli,1,social,cause prediction,"context: observation 1. ronald is afraid of being arrested. observation 2. because of prison food, ronald decided to not break the law. question: what is the most plausible hypothesis? options: a) ronald wants to go back b) ronald loved eating at the best restaurants in town","context: observation 1. ronald is afraid of being arrested. observation 2. because of prison food, ronald decided to not break the law. question: what is the most plausible hypothesis? options: a) ronald wants to go back b) ronald loved eating at the best restaurants in town",b) ronald loved eating at the best restaurants in town,b) ronald loved eating at the best restaurants in town
anli,0,social,effect prediction,context: observation 1. larry has decided to help out his friends prepare for a party. observation 2. larry was happy that he could contribute to the party. question: what is the most plausible hypothesis? options: a) he put in half of his pay check b) they all had trouble cooking and decorating before the rest of the guests arrived,context: observation 1. larry has decided to help out his friends prepare for a party. observation 2. larry was happy that he could contribute to the party. question: what is the most plausible hypothesis? options: a) he put in half of his pay check b) they all had trouble cooking and decorating before the rest of the guests arrived,a) he put in half of his pay check,b) they all had trouble cooking and decorating before the rest of the guests arrived
anli,1,commonsense,cause prediction,"context: observation 1. bella was very pale. observation 2. when she left, her skin was a summery golden brown! question: what is the most plausible hypothesis? options: a) she decided to take a much needed vacation in florida b) bella decided to save the morning at the nail salon","context: observation 1. bella was very pale. observation 2. when she left, her skin was a summery golden brown! question: what is the most plausible hypothesis? options: a) she decided to take a much needed vacation in florida b) bella decided to save the morning at the nail salon",a) she decided to take a much needed vacation in florida,a) she decided to take a much needed vacation in florida
anli,1,commonsense,cause prediction,"context: observation 1. billy wanted to become a doctor. observation 2. he was so depressed, he became an alcoholic. question: what is the most plausible hypothesis? options: a) instead he spent his life chasing women and doing drugs b) billy dropped out of school","context: observation 1. billy wanted to become a doctor. observation 2. he was so depressed, he became an alcoholic. question: what is the most plausible hypothesis? options: a) instead he spent his life chasing women and doing drugs b) billy dropped out of school",b) billy dropped out of school,b) billy dropped out of school
anli,1,commonsense,cause prediction,context: observation 1. evie was at a fair. observation 2. they were so pretty that she decided to buy one. question: what is the most plausible hypothesis? options: a) evie saw a captivating hat at a booth b) people with lots of hats saw evie,context: observation 1. evie was at a fair. observation 2. they were so pretty that she decided to buy one. question: what is the most plausible hypothesis? options: a) evie saw a captivating hat at a booth b) people with lots of hats saw evie,a) evie saw a captivating hat at a booth,a) evie saw a captivating hat at a booth
anli,1,social,cause prediction,context: observation 1. martha was a terrible cook and her boyfriend knew it. observation 2. martha became an expert seamstress after a while. question: what is the most plausible hypothesis? options: a) marthas boyfriend suggested she learn sewing instead b) martha practiced her cooking,context: observation 1. martha was a terrible cook and her boyfriend knew it. observation 2. martha became an expert seamstress after a while. question: what is the most plausible hypothesis? options: a) marthas boyfriend suggested she learn sewing instead b) martha practiced her cooking,a) marthas boyfriend suggested she learn sewing instead,a) marthas boyfriend suggested she learn sewing instead
anli,0,commonsense,cause prediction,context: observation 1. last april i woke to the sound of tornado sirens. observation 2. when it was over we looked outside at the destruction. question: what is the most plausible hypothesis? options: a) april spent the night in the basement b) i had to go outside to wait out the tornado,context: observation 1. last april i woke to the sound of tornado sirens. observation 2. when it was over we looked outside at the destruction. question: what is the most plausible hypothesis? options: a) april spent the night in the basement b) i had to go outside to wait out the tornado,a) april spent the night in the basement,b) i had to go outside to wait out the tornado
anli,1,social,cause prediction,context: observation 1. kim wanted to buy a car. observation 2. kim was hired to a job and saved enough money for her car. question: what is the most plausible hypothesis? options: a) kim needed more money than she could get b) kim applied for jobs to make money,context: observation 1. kim wanted to buy a car. observation 2. kim was hired to a job and saved enough money for her car. question: what is the most plausible hypothesis? options: a) kim needed more money than she could get b) kim applied for jobs to make money,b) kim applied for jobs to make money,b) kim applied for jobs to make money
anli,1,commonsense,effect prediction,context: observation 1. peter decided to go for a walk. observation 2. he headed home to change his clothes. question: what is the most plausible hypothesis? options: a) peter got wet in the dryness b) halfway through his walk it started pouring,context: observation 1. peter decided to go for a walk. observation 2. he headed home to change his clothes. question: what is the most plausible hypothesis? options: a) peter got wet in the dryness b) halfway through his walk it started pouring,b) halfway through his walk it started pouring,b) halfway through his walk it started pouring
anli,1,commonsense,cause prediction,context: observation 1. early saturday morning as i sat reading my bible a butterfly flew by. observation 2. i watched her until she faded away and then resumed my study. question: what is the most plausible hypothesis? options: a) she moved as though she were dancing through the air b) saturday morning as i woke up early and reading my bible always,context: observation 1. early saturday morning as i sat reading my bible a butterfly flew by. observation 2. i watched her until she faded away and then resumed my study. question: what is the most plausible hypothesis? options: a) she moved as though she were dancing through the air b) saturday morning as i woke up early and reading my bible always,a) she moved as though she were dancing through the air,a) she moved as though she were dancing through the air
anli,0,commonsense,effect prediction,context: observation 1. beth broke her leg. observation 2. now it stinks very bad. question: what is the most plausible hypothesis? options: a) beths leg was stuck in a cast for several ending b) beth had a cast on for weeks,context: observation 1. beth broke her leg. observation 2. now it stinks very bad. question: what is the most plausible hypothesis? options: a) beths leg was stuck in a cast for several ending b) beth had a cast on for weeks,b) beth had a cast on for weeks,a) beths leg was stuck in a cast for several ending
anli,0,social,cause prediction,"context: observation 1. tim was struggling in math. observation 2. ultimately, he ended up failing the test and had to repeat the course. question: what is the most plausible hypothesis? options: a) instead of asking for help tim went to a football game with his friends the night before the final exam b) tim studied every night","context: observation 1. tim was struggling in math. observation 2. ultimately, he ended up failing the test and had to repeat the course. question: what is the most plausible hypothesis? options: a) instead of asking for help tim went to a football game with his friends the night before the final exam b) tim studied every night",a) instead of asking for help tim went to a football game with his friends the night before the final exam,b) tim studied every night
anli,0,commonsense,cause prediction,context: observation 1. john blinked his eyes and read the sign again. observation 2. the prankster who had hacked the sign enjoyed the chaos he had caused. question: what is the most plausible hypothesis? options: a) the sign he created was totally changed from his creation b) someone had left the sign as stop instead of yield,context: observation 1. john blinked his eyes and read the sign again. observation 2. the prankster who had hacked the sign enjoyed the chaos he had caused. question: what is the most plausible hypothesis? options: a) the sign he created was totally changed from his creation b) someone had left the sign as stop instead of yield,a) the sign he created was totally changed from his creation,b) someone had left the sign as stop instead of yield
anli,0,commonsense,effect prediction,context: observation 1. michelle had a huge stack of books. observation 2. then she went home. question: what is the most plausible hypothesis? options: a) michelle organized the books in her room b) she decided to donate them to the library,context: observation 1. michelle had a huge stack of books. observation 2. then she went home. question: what is the most plausible hypothesis? options: a) michelle organized the books in her room b) she decided to donate them to the library,b) she decided to donate them to the library,a) michelle organized the books in her room
anli,1,commonsense,cause comparison,context: observation 1. my back was aching from work. observation 2. my back felt much better afterwards. question: what is the most plausible hypothesis? options: a) i decided to stand up for a bit b) i went to see the chiropactor for an adjustment,context: observation 1. my back was aching from work. observation 2. my back felt much better afterwards. question: what is the most plausible hypothesis? options: a) i decided to stand up for a bit b) i went to see the chiropactor for an adjustment,b) i went to see the chiropactor for an adjustment,b) i went to see the chiropactor for an adjustment
anli,1,social,cause prediction,context: observation 1. jan and kim were both using the montessori education model. observation 2. jan brought the books back. question: what is the most plausible hypothesis? options: a) jan borrowed some of the books from kim b) kim borrowed some books from jan,context: observation 1. jan and kim were both using the montessori education model. observation 2. jan brought the books back. question: what is the most plausible hypothesis? options: a) jan borrowed some of the books from kim b) kim borrowed some books from jan,a) jan borrowed some of the books from kim,a) jan borrowed some of the books from kim
anli,0,social,effect prediction,context: observation 1. ron and his friends were hanging out late at night. observation 2. ron said he didn't want to and his friends made fun of him. question: what is the most plausible hypothesis? options: a) ron decided to go home so he could rest before work the next day b) rons friends dared ron to stay inside,context: observation 1. ron and his friends were hanging out late at night. observation 2. ron said he didn't want to and his friends made fun of him. question: what is the most plausible hypothesis? options: a) ron decided to go home so he could rest before work the next day b) rons friends dared ron to stay inside,a) ron decided to go home so he could rest before work the next day,b) rons friends dared ron to stay inside
anli,1,social,effect prediction,"context: observation 1. peter and kevin grew up in a small town. observation 2. their sons are the best of friends, and play on the same team. question: what is the most plausible hypothesis? options: a) peter and kevins daughters like the same sports b) peter and kevin had kids","context: observation 1. peter and kevin grew up in a small town. observation 2. their sons are the best of friends, and play on the same team. question: what is the most plausible hypothesis? options: a) peter and kevins daughters like the same sports b) peter and kevin had kids",b) peter and kevin had kids,b) peter and kevin had kids
anli,0,social,cause prediction,context: observation 1. i was playing guitar in my room. observation 2. i grabbed a replacement string and went back to playing. question: what is the most plausible hypothesis? options: a) i broke a finger b) in my enthusiasm i broke one of the strings,context: observation 1. i was playing guitar in my room. observation 2. i grabbed a replacement string and went back to playing. question: what is the most plausible hypothesis? options: a) i broke a finger b) in my enthusiasm i broke one of the strings,b) in my enthusiasm i broke one of the strings,a) i broke a finger
anli,0,commonsense,effect prediction,"context: observation 1. gina's mom was going to her younger brothers house. observation 2. if her siblings were going to have fun, so was she. question: what is the most plausible hypothesis? options: a) the kids loved playing with ginas mom b) gina wanted to go to her brothers house too","context: observation 1. gina's mom was going to her younger brothers house. observation 2. if her siblings were going to have fun, so was she. question: what is the most plausible hypothesis? options: a) the kids loved playing with ginas mom b) gina wanted to go to her brothers house too",b) gina wanted to go to her brothers house too,a) the kids loved playing with ginas mom
anli,1,social,cause prediction,context: observation 1. she was supposed to be at work but was at home sick. observation 2. to be thinking of christmas in july made her feel very depressed. question: what is the most plausible hypothesis? options: a) she was so lonely at home b) she started shopping online for halloween costumes,context: observation 1. she was supposed to be at work but was at home sick. observation 2. to be thinking of christmas in july made her feel very depressed. question: what is the most plausible hypothesis? options: a) she was so lonely at home b) she started shopping online for halloween costumes,a) she was so lonely at home,a) she was so lonely at home
anli,0,commonsense,effect prediction,context: observation 1. jen loved to take walks in gardens and see flowers. observation 2. jen cut a few flowers and took them home with her. question: what is the most plausible hypothesis? options: a) jen took a walk an saw some long weeds b) she walked through a garden at the park,context: observation 1. jen loved to take walks in gardens and see flowers. observation 2. jen cut a few flowers and took them home with her. question: what is the most plausible hypothesis? options: a) jen took a walk an saw some long weeds b) she walked through a garden at the park,b) she walked through a garden at the park,a) jen took a walk an saw some long weeds
anli,1,social,effect prediction,context: observation 1. i found a $600 dollar envelope in the mail today. observation 2. i am dishonest. question: what is the most plausible hypothesis? options: a) i donated all of the money to charity b) i decided to keep it even if it wasnt mine,context: observation 1. i found a $600 dollar envelope in the mail today. observation 2. i am dishonest. question: what is the most plausible hypothesis? options: a) i donated all of the money to charity b) i decided to keep it even if it wasnt mine,b) i decided to keep it even if it wasnt mine,b) i decided to keep it even if it wasnt mine
anli,0,commonsense,cause prediction,context: observation 1. keith wanted to be a photographer. observation 2. he was so excited. question: what is the most plausible hypothesis? options: a) keiths parents bought him a new camera for christmas b) keith got excited for his birthday,context: observation 1. keith wanted to be a photographer. observation 2. he was so excited. question: what is the most plausible hypothesis? options: a) keiths parents bought him a new camera for christmas b) keith got excited for his birthday,a) keiths parents bought him a new camera for christmas,b) keith got excited for his birthday
anli,0,social,effect prediction,context: observation 1. amelia wanted to be friends with kiku. observation 2. they had both wanted to be friends with each other! question: what is the most plausible hypothesis? options: a) they were both very shy but were attracted to eachother without even knowing b) she went under to say hello,context: observation 1. amelia wanted to be friends with kiku. observation 2. they had both wanted to be friends with each other! question: what is the most plausible hypothesis? options: a) they were both very shy but were attracted to eachother without even knowing b) she went under to say hello,a) they were both very shy but were attracted to eachother without even knowing,b) she went under to say hello
anli,1,commonsense,cause prediction,context: observation 1. my sister's dog olga was laying on the couch. observation 2. she just lay down right on top of him! question: what is the most plausible hypothesis? options: a) she moved olga to his dog bed b) my sister sat down on the couch by olga,context: observation 1. my sister's dog olga was laying on the couch. observation 2. she just lay down right on top of him! question: what is the most plausible hypothesis? options: a) she moved olga to his dog bed b) my sister sat down on the couch by olga,b) my sister sat down on the couch by olga,b) my sister sat down on the couch by olga
anli,0,social,cause prediction,context: observation 1. jerry was always made fun of at work. observation 2. he now gets to tell those coworkers what to do. question: what is the most plausible hypothesis? options: a) he decided to put all his energy into getting a promotion b) he decided to put all his energy into getting laid,context: observation 1. jerry was always made fun of at work. observation 2. he now gets to tell those coworkers what to do. question: what is the most plausible hypothesis? options: a) he decided to put all his energy into getting a promotion b) he decided to put all his energy into getting laid,a) he decided to put all his energy into getting a promotion,b) he decided to put all his energy into getting laid
anli,0,commonsense,effect prediction,"context: observation 1. i was working on my laptop one day. observation 2. after paying the bill, i no longer experienced issues. question: what is the most plausible hypothesis? options: a) i got an email saying my cable bill was current and service would be upgraded b) the internet was very slow and then stopped completely","context: observation 1. i was working on my laptop one day. observation 2. after paying the bill, i no longer experienced issues. question: what is the most plausible hypothesis? options: a) i got an email saying my cable bill was current and service would be upgraded b) the internet was very slow and then stopped completely",b) the internet was very slow and then stopped completely,a) i got an email saying my cable bill was current and service would be upgraded
anli,0,commonsense,cause prediction,context: observation 1. lori's class was supposed to be dissecting frogs. observation 2. she picked up a knife and started dissecting the frog. question: what is the most plausible hypothesis? options: a) loris class didnt take dissection serious b) loris teacher confuse a frog on her desk with an instruction booklet,context: observation 1. lori's class was supposed to be dissecting frogs. observation 2. she picked up a knife and started dissecting the frog. question: what is the most plausible hypothesis? options: a) loris class didnt take dissection serious b) loris teacher confuse a frog on her desk with an instruction booklet,a) loris class didnt take dissection serious,b) loris teacher confuse a frog on her desk with an instruction
anli,1,commonsense,cause prediction,"context: observation 1. jim found a stray cat walking on the street. observation 2. now, jim's cat lives in jim's house and it is his pet. question: what is the most plausible hypothesis? options: a) jim decided to look for the owner and he found the owner b) jim took it home and gave it a bath","context: observation 1. jim found a stray cat walking on the street. observation 2. now, jim's cat lives in jim's house and it is his pet. question: what is the most plausible hypothesis? options: a) jim decided to look for the owner and he found the owner b) jim took it home and gave it a bath",b) jim took it home and gave it a bath,b) jim took it home and gave it a bath
anli,1,commonsense,effect prediction,context: observation 1. danny loved baking doughnuts for his friends and family. observation 2. danny's shop became one of the most popular places in town! question: what is the most plausible hypothesis? options: a) he opened up a aquarium shop b) danny decided to open up his own doughnut shop,context: observation 1. danny loved baking doughnuts for his friends and family. observation 2. danny's shop became one of the most popular places in town! question: what is the most plausible hypothesis? options: a) he opened up a aquarium shop b) danny decided to open up his own doughnut shop,b) danny decided to open up his own doughnut shop,b) danny decided to open up his own doughnut shop
anli,0,commonsense,cause prediction,"context: observation 1. dan entered an eating contest at his local fair. observation 2. dan lost the contest, and was sick for days. question: what is the most plausible hypothesis? options: a) dan ate a lot of food very slowly hoping to win b) dan tried to eat 30 cold hot dogs","context: observation 1. dan entered an eating contest at his local fair. observation 2. dan lost the contest, and was sick for days. question: what is the most plausible hypothesis? options: a) dan ate a lot of food very slowly hoping to win b) dan tried to eat 30 cold hot dogs",b) dan tried to eat 30 cold hot dogs,a) dan ate a lot of food very slowly hoping to win
anli,1,social,cause prediction,"context: observation 1. wyatt and his friends were in class. observation 2. in the end, he decided not to and stood up for the girl instead. question: what is the most plausible hypothesis? options: a) wyatt was making fun of a girl b) wyatts friends were making fun of a girl","context: observation 1. wyatt and his friends were in class. observation 2. in the end, he decided not to and stood up for the girl instead. question: what is the most plausible hypothesis? options: a) wyatt was making fun of a girl b) wyatts friends were making fun of a girl",b) wyatts friends were making fun of a girl,b) wyatts friends were making fun of a girl
anli,1,science,cause comparison,"context: observation 1. noah had a cold. observation 2. after two days, noah felt better. question: what is the most plausible hypothesis? options: a) noah ate cold cuts and got a lot of rest b) noah took his prescribed medicine and stayed home","context: observation 1. noah had a cold. observation 2. after two days, noah felt better. question: what is the most plausible hypothesis? options: a) noah ate cold cuts and got a lot of rest b) noah took his prescribed medicine and stayed home",b) noah took his prescribed medicine and stayed home,b) noah took his prescribed medicine and stayed home
anli,0,commonsense,cause prediction,context: observation 1. our friend owns a restaurant. observation 2. the employee was not impressed. question: what is the most plausible hypothesis? options: a) our friend kept the restaurant open after hours b) our friend tried to impress the employees with a free meal,context: observation 1. our friend owns a restaurant. observation 2. the employee was not impressed. question: what is the most plausible hypothesis? options: a) our friend kept the restaurant open after hours b) our friend tried to impress the employees with a free meal,a) our friend kept the restaurant open after hours,b) our friend tried to impress the employees with a free meal
anli,1,commonsense,effect prediction,context: observation 1. oscar never made his bed. observation 2. she gave him a dessert treat. question: what is the most plausible hypothesis? options: a) oscar relented and finally made his bed b) oscars mom finally made oscars bed,context: observation 1. oscar never made his bed. observation 2. she gave him a dessert treat. question: what is the most plausible hypothesis? options: a) oscar relented and finally made his bed b) oscars mom finally made oscars bed,a) oscar relented and finally made his bed,a) oscar relented and finally made his bed
anli,1,commonsense,cause prediction,"context: observation 1. ric loved his dogs, and took them everywhere he went. observation 2. he often gently dusts their ash canisters in somber reflection. question: what is the most plausible hypothesis? options: a) rics dogs lived long happy lives but like all living things eventually passed away b) rics cats passed away last month he misses them so","context: observation 1. ric loved his dogs, and took them everywhere he went. observation 2. he often gently dusts their ash canisters in somber reflection. question: what is the most plausible hypothesis? options: a) rics dogs lived long happy lives but like all living things eventually passed away b) rics cats passed away last month he misses them so",a) rics dogs lived long happy lives but like all living things eventually passed away,a) rics dogs lived long happy lives but like all living things eventually passed away
anli,1,commonsense,effect prediction,context: observation 1. there was a power outage in the neighborhood due to the thunderstorm. observation 2. they also participated in several activities such as cooking. question: what is the most plausible hypothesis? options: a) everyone had to do things together b) the towns community center canceled their meeting,context: observation 1. there was a power outage in the neighborhood due to the thunderstorm. observation 2. they also participated in several activities such as cooking. question: what is the most plausible hypothesis? options: a) everyone had to do things together b) the towns community center canceled their meeting,a) everyone had to do things together,a) everyone had to do things together
anli,1,commonsense,cause prediction,context: observation 1. yesterday my iron broke. observation 2. thankfully i got a new one. question: what is the most plausible hypothesis? options: a) i attempted to fix it myself b) i dont need an iron anymore to look good for work,context: observation 1. yesterday my iron broke. observation 2. thankfully i got a new one. question: what is the most plausible hypothesis? options: a) i attempted to fix it myself b) i dont need an iron anymore to look good for work,a) i attempted to fix it myself,a) i attempted to fix it myself
anli,1,commonsense,cause prediction,"context: observation 1. gina was so excited for prom. observation 2. finally it was prom night, and gina was so happy! question: what is the most plausible hypothesis? options: a) gina brought a new dress and candles b) gina got a date","context: observation 1. gina was so excited for prom. observation 2. finally it was prom night, and gina was so happy! question: what is the most plausible hypothesis? options: a) gina brought a new dress and candles b) gina got a date",b) gina got a date,b) gina got a date
anli,1,commonsense,cause prediction,context: observation 1. tara wanted to repaint her room. observation 2. she went home and painted her room pink by herself. question: what is the most plausible hypothesis? options: a) tara wanted a more comfortable room b) tara bought the blue paint that she saw at the store,context: observation 1. tara wanted to repaint her room. observation 2. she went home and painted her room pink by herself. question: what is the most plausible hypothesis? options: a) tara wanted a more comfortable room b) tara bought the blue paint that she saw at the store,a) tara wanted a more comfortable room,a) tara wanted a more comfortable room
anli,1,commonsense,effect prediction,context: observation 1. robbie just joined a new band. observation 2. they record a record together. question: what is the most plausible hypothesis? options: a) they ruin a lot of songs b) robbie has a bandmate,context: observation 1. robbie just joined a new band. observation 2. they record a record together. question: what is the most plausible hypothesis? options: a) they ruin a lot of songs b) robbie has a bandmate,b) robbie has a bandmate,b) robbie has a bandmate
anli,1,commonsense,effect prediction,context: observation 1. millie enjoyed playing peek-a-boo. observation 2. millie's excitement about her new friend lasted until nap time. question: what is the most plausible hypothesis? options: a) millie was playing peekaboo with a friend b) millie invited her dog over to play,context: observation 1. millie enjoyed playing peek-a-boo. observation 2. millie's excitement about her new friend lasted until nap time. question: what is the most plausible hypothesis? options: a) millie was playing peekaboo with a friend b) millie invited her dog over to play,a) millie was playing peekaboo with a friend,a) millie was playing peekaboo with a friend
anli,0,commonsense,cause comparison,context: observation 1. amy was going to a party. observation 2. amy was horrified when she looked in a mirror to see her makeup melted question: what is the most plausible hypothesis? options: a) it was hot outside the party b) amy was dancing and it was warm,context: observation 1. amy was going to a party. observation 2. amy was horrified when she looked in a mirror to see her makeup melted question: what is the most plausible hypothesis? options: a) it was hot outside the party b) amy was dancing and it was warm,b) amy was dancing and it was warm,a) it was hot outside the party
anli,0,science,cause prediction,context: observation 1. noah had a diaper rash. observation 2. his rash healed up quickly with some clean air on it. question: what is the most plausible hypothesis? options: a) noah put powder on it b) noahs parents learned that his skin needed to stay in the diaper,context: observation 1. noah had a diaper rash. observation 2. his rash healed up quickly with some clean air on it. question: what is the most plausible hypothesis? options: a) noah put powder on it b) noahs parents learned that his skin needed to stay in the diaper,a) noah put powder on it,b) noahs parents learned that his skin needed to stay in the diaper
anli,1,social,cause prediction,context: observation 1. monique was finishing a new novel. observation 2. she took the copy and slapped gary hard over the head with it. question: what is the most plausible hypothesis? options: a) gary snuck up behind her and scared her because she was deeply involved in reading her novel b) she was testing gary about it,context: observation 1. monique was finishing a new novel. observation 2. she took the copy and slapped gary hard over the head with it. question: what is the most plausible hypothesis? options: a) gary snuck up behind her and scared her because she was deeply involved in reading her novel b) she was testing gary about it,a) gary snuck up behind her and scared her because she was deeply involved in reading her novel,a) gary snuck up behind her and scared her because she was deeply
